seed	step	zvf_obs	reward	mean_len	p0_inverted	predicted_zvf_G16	predicted_zvf_G32	predicted_zvf_G64	Gstar	zvf_at_Gstar	salvageable	Gstar_eq_G16	Gstar_eq_G32	Gstar_eq_G64
179	2	0.5	0.171875	255.625	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
179	3	0.75	0.03125	250.031	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
179	4	0.5	0.25	254.062	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
179	5	0.625	0.34375	248.359	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
179	6	0.625	0.15625	254.547	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
179	7	0.5	0.109375	256	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
179	8	0.75	0.421875	239.562	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
179	9	0.5	0.5625	226.641	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
179	10	0.75	0.125	254.766	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
179	11	0.625	0.265625	249.484	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
179	12	0.625	0.421875	245.328	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
179	13	0.625	0.1875	253.375	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
179	14	0.625	0.203125	252.406	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
179	15	0.375	0.390625	238.25	0.115386	0.140625	0.0197754	0.000391066	16	0.140625	1	1	0	0
316	1	0.5	0.40625	245.266	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
316	2	0.625	0.125	255.125	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
316	3	0.5	0.265625	253.234	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
316	4	0.375	0.25	254.312	0.115386	0.140625	0.0197754	0.000391066	16	0.140625	1	1	0	0
316	5	0.625	0.421875	241.391	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
316	6	0.75	0.234375	253.688	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
316	7	0.75	0.25	249.906	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
316	8	0.75	0.15625	254.438	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
316	9	0.5	0.21875	254.859	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
316	10	0.75	0.203125	250.078	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
316	11	0.5	0.4375	238.953	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
316	12	0.625	0.109375	255.312	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
316	13	0.625	0.25	248	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
316	14	0.375	0.53125	232.75	0.115386	0.140625	0.0197754	0.000391066	16	0.140625	1	1	0	0
316	15	0.625	0.4375	249.5	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
453	1	0.75	0.265625	249.125	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
453	2	0.75	0.125	255.438	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
453	3	0.625	0.140625	255.75	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
453	4	0.75	0.1875	249.703	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
453	5	0.75	0.03125	256	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
453	6	0.5	0.203125	255.047	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
453	7	0.625	0.0625	256	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
453	8	0.375	0.53125	241.734	0.115386	0.140625	0.0197754	0.000391066	16	0.140625	1	1	0	0
453	9	0.625	0.28125	248	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
453	10	0.75	0.125	254.031	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
453	11	0.5	0.1875	249	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
453	12	0.875	0.09375	254.047	0.0165529	0.765625	0.586182	0.343609	64	0.343609	1	0	0	1
453	13	0.5	0.375	237.922	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
