method	step	kl_to_grpo_bits	js_to_grpo_bits	wass1_to_grpo	adv_mean_diff	adv_var_ratio	n_advs_grpo	n_advs_var	adv_mean_grpo	adv_mean_var
areal	16	2.7636550474729717	0.09555201585919279	0.0546875	0.0	0.7894736842105263	128	128	0.0	0.0
grpo	17	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	17	0.07499765563659445	0.018045792406524153	0.03515625	0.0	1.0	128	128	0.0	0.0
gift	17	12.011714503723253	0.730347083514202	0.41015625	0.40625	0.6704545454545454	128	128	0.0	0.40625
areal	17	0.3649015238801058	0.022936168804471937	0.029296875	0.0	1.0795454545454546	128	128	0.0	0.0
grpo	18	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	18	2.392179299892996	0.11980021981666451	0.05859375	0.0	0.7216494845360825	128	128	0.0	0.0
gift	18	8.090409533612368	0.4802048983492398	0.3515625	0.3515625	0.782860824742268	128	128	0.0	0.3515625
areal	18	3.431203977785349	0.1542710322674582	0.048828125	0.0	0.8144329896907216	128	128	0.0	0.0
grpo	19	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	19	4.2102916300305795	0.21809513990044505	0.052734375	0.0	1.2758620689655173	128	128	0.0	0.0
gift	19	6.641566763206394	0.6664682430972764	0.42626953125	0.421875	0.8081896551724138	128	128	0.0	0.421875
areal	19	5.144400744925745	0.17891070007167403	0.0546875	0.0	0.9655172413793104	128	128	0.0	0.0
grpo	20	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	20	1.9505420587284428	0.08761800378639122	0.033203125	0.0	0.918918918918919	128	128	0.0	0.0
gift	20	20.9250014182098	0.8270561893520338	0.41845703125	0.4140625	0.737331081081081	128	128	0.0	0.4140625
areal	20	2.061646756199059	0.0678879615463232	0.03515625	0.0	0.972972972972973	128	128	0.0	0.0
grpo	21	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	21	1.0324670849889477	0.08156905443682048	0.0390625	0.0	0.6818181818181818	128	128	0.0	0.0
gift	21	24.16797296167359	0.9152320638634694	0.43701171875	0.43359375	1.0181107954545454	128	128	0.0	0.43359375
areal	21	1.0413481829786877	0.09544777229393903	0.03515625	0.0	1.0	128	128	0.0	0.0
grpo	22	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	22	1.2536751474518413	0.1120441392543329	0.0390625	0.0	0.8775510204081632	128	128	0.0	0.0
gift	22	6.9946796764124395	0.7762407136813532	0.44873046875	0.4453125	0.6492346938775511	128	128	0.0	0.4453125
areal	22	2.9730331313612504	0.1394587886223211	0.046875	0.0	0.6122448979591837	128	128	0.0	0.0
grpo	23	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	23	0.08116808722631134	0.027221270526062054	0.0234375	0.0	1.631578947368421	128	128	0.0	0.0
gift	23	4.815574676805079	0.7877139401989296	0.4482421875	0.4453125	1.674342105263158	128	128	0.0	0.4453125
areal	23	0.08435778429075907	0.028045155640982262	0.033203125	0.0	1.7894736842105263	128	128	0.0	0.0
grpo	24	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	24	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
gift	24	24.538565169317984	0.9276191878114814	0.47119140625	0.46875	0.9226190476190477	128	128	0.0	0.46875
areal	24	2.5095756843270096	0.07895989218357774	0.015625	0.0	0.9047619047619048	128	128	0.0	0.0
grpo	25	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	25	2.7126676399550127	0.09276426811001345	0.0546875	0.0	0.6708860759493671	128	128	0.0	0.0
gift	25	6.067008336094853	0.5619300709652906	0.4345703125	0.42578125	0.6271756329113924	128	128	0.0	0.42578125
areal	25	4.398258945436265	0.14551928330467284	0.044921875	0.0	1.0632911392405062	128	128	0.0	0.0
grpo	26	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	26	2.512765381391457	0.07978377729849795	0.02734375	0.0	1.0384615384615385	128	128	0.0	0.0
gift	26	24.644744087010334	0.9523677881445294	0.45361328125	0.44921875	1.2469951923076923	128	128	0.0	0.44921875
areal	26	3.871438629219621	0.13348367722802842	0.0390625	0.0	1.0384615384615385	128	128	0.0	0.0
grpo	27	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	27	1.3707227911329898	0.062499654183867284	0.013671875	0.0	0.9375	128	128	0.0	0.0
gift	27	25.693071672304896	0.9004155897416359	0.478515625	0.4765625	0.94921875	128	128	0.0	0.4765625
areal	27	0.6670813276250723	0.02457207429463703	0.0234375	0.0	0.75	128	128	0.0	0.0
grpo	28	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	28	1.069351799474336	0.09693570738145965	0.02734375	0.0	1.0344827586206897	128	128	0.0	0.0
gift	28	25.97350090297415	0.9999990876258531	0.466796875	0.46484375	0.7817887931034483	128	128	0.0	0.46484375
areal	28	0.035081702381022005	0.007851108803691699	0.013671875	0.0	0.7586206896551724	128	128	0.0	0.0
grpo	29	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	29	3.1766570119520816	0.10353196647821478	0.03515625	0.0	0.8	128	128	0.0	0.0
gift	29	25.09402393891548	0.9004154191504182	0.48046875	0.48046875	0.4765625	128	128	0.0	0.48046875
areal	29	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
grpo	30	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	30	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
gift	30	25.592699988202632	0.9746468179270509	0.46484375	0.4609375	1.0456730769230769	128	128	0.0	0.4609375
areal	30	0.07316992092261983	0.024175881331700046	0.029296875	0.0	1.5769230769230769	128	128	0.0	0.0
grpo	31	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	31	1.3126424443125306	0.03215175638741038	0.013671875	0.0	0.7878787878787878	128	128	0.0	0.0
gift	31	8.24759163394345	0.8240702162979527	0.47021484375	0.46484375	0.5733901515151515	128	128	0.0	0.46484375
areal	31	1.5059231630452674	0.08605664724395959	0.05859375	0.0	1.6363636363636365	128	128	0.0	0.0
grpo	32	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	32	2.1399818456824655	0.06175364409171939	0.046875	0.0	0.8064516129032258	128	128	0.0	0.0
gift	32	22.312270816513937	0.8061618796315758	0.42529296875	0.421875	0.7661290322580645	128	128	0.0	0.421875
areal	32	2.839611711762965	0.1057557544815873	0.04296875	0.0	0.7903225806451613	128	128	0.0	0.0
grpo	33	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	33	0.13132071435418402	0.041710084839906694	0.03515625	0.0	1.3125	128	128	0.0	0.0
gift	33	9.726957662621508	0.8448178940847514	0.46484375	0.46484375	0.3942057291666667	128	128	0.0	0.46484375
areal	33	1.1759353505943564	0.0878188213744106	0.0390625	0.0	1.3333333333333333	128	128	0.0	0.0
grpo	34	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	34	1.255864226278827	0.058850003835067145	0.02734375	0.0	1.1578947368421053	128	128	0.0	0.0
gift	34	6.134725556924419	0.8343622839518074	0.482421875	0.46875	0.7894736842105263	128	128	0.0	0.46875
areal	34	1.5616773454076471	0.16104557388170207	0.05859375	0.0	2.1052631578947367	128	128	0.0	0.0
grpo	35	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	35	0.18440710127221438	0.06238390051134297	0.044921875	0.0	2.9166666666666665	128	128	0.0	0.0
gift	35	4.107727053899433	0.722389756685055	0.41259765625	0.41015625	3.3268229166666665	128	128	0.0	0.41015625
areal	35	0.1779224751168054	0.05982538384481724	0.02734375	0.0	2.1666666666666665	128	128	0.0	0.0
grpo	36	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	36	0.9786520202478346	0.0731083554847443	0.015625	0.0	1.0689655172413792	128	128	0.0	0.0
gift	36	7.341604929906653	0.8375851567130633	0.453125	0.453125	0.9224137931034483	128	128	0.0	0.453125
areal	36	0.19292490704944606	0.06254797317520049	0.025390625	0.0	1.4137931034482758	128	128	0.0	0.0
grpo	37	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	37	1.196283336481675	0.08796282505356084	0.029296875	0.0	1.1063829787234043	128	128	0.0	0.0
gift	37	4.043096130782277	0.4793680041461481	0.39990234375	0.390625	1.077127659574468	128	128	0.0	0.390625
areal	37	0.11605609970161733	0.03629755225768346	0.033203125	0.0	1.2340425531914894	128	128	0.0	0.0
grpo	38	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	38	1.0382548638038558	0.08956809347848695	0.03125	0.0	1.0	128	128	0.0	0.0
gift	38	8.243501869225165	0.7214354705237322	0.42626953125	0.41796875	0.7508844339622641	128	128	0.0	0.41796875
areal	38	0.9053677059140979	0.03863370918970217	0.04296875	0.0	0.6415094339622641	128	128	0.0	0.0
grpo	39	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	39	2.086055147737747	0.13754390277673403	0.044921875	0.0	1.0204081632653061	128	128	0.0	0.0
gift	39	5.467299765218045	0.7062539573075226	0.4375	0.43359375	0.8759566326530612	128	128	0.0	0.43359375
areal	39	0.002695139157202116	0.0006604322139536465	0.013671875	0.0	0.9387755102040817	128	128	0.0	0.0
