seed	rate_pct	fset	tau0_vr	tau3_vr	monotone_non_increasing	ratio_tau0_over_tau3
20260708	0.05	20raw	0.0	0.0	True	0.0
20260708	0.05	20raw+minmax	0.0	0.0	True	0.0
20260708	0.05	20raw+stat	0.0	0.0	True	0.0
20260710	1.44	24full	0.5638297872340425	0.0	True	563829787.2340425
20260710	1.44	20raw	0.5684210526315789	0.0	True	568421052.6315789
20260710	1.44	20raw+minmax	0.5531914893617021	0.0	True	553191489.3617021
20260710	1.44	20raw+stat	0.5531914893617021	0.0	True	553191489.3617021
20260710	1.0	24full	0.5873015873015873	0.0	True	587301587.3015873
20260710	1.0	20raw	0.5737704918032787	0.0	True	573770491.8032786
20260710	1.0	20raw+minmax	0.5714285714285714	0.0	True	571428571.4285713
20260710	1.0	20raw+stat	0.5737704918032787	0.0	True	573770491.8032786
20260710	0.5	24full	0.6	0.0	True	600000000.0
20260710	0.5	20raw	0.6206896551724138	0.0	True	620689655.1724138
20260710	0.5	20raw+minmax	0.6206896551724138	0.0	True	620689655.1724138
20260710	0.5	20raw+stat	0.5555555555555556	0.0	True	555555555.5555556
20260710	0.1	24full	0.5555555555555556	0.0	True	555555555.5555556
20260710	0.1	20raw	0.5555555555555556	0.0	True	555555555.5555556
20260710	0.1	20raw+minmax	0.5555555555555556	0.0	True	555555555.5555556
20260710	0.1	20raw+stat	0.5555555555555556	0.0	True	555555555.5555556
20260710	0.05	24full	0.5	0.0	True	499999999.99999994
20260710	0.05	20raw	0.5	0.0	True	499999999.99999994
20260710	0.05	20raw+minmax	0.5	0.0	True	499999999.99999994
20260710	0.05	20raw+stat	0.5	0.0	True	499999999.99999994
20260712	1.44	24full	0.5638297872340425	0.0	True	563829787.2340425
20260712	1.44	20raw	0.5638297872340425	0.0	True	563829787.2340425
20260712	1.44	20raw+minmax	0.5494505494505495	0.0	True	549450549.4505495
20260712	1.44	20raw+stat	0.5543478260869565	0.0	True	554347826.0869565
20260712	1.0	24full	0.582089552238806	0.0	True	582089552.2388059
20260712	1.0	20raw	0.59375	0.0	True	593750000.0
20260712	1.0	20raw+minmax	0.5806451612903226	0.0	True	580645161.2903225
20260712	1.0	20raw+stat	0.5833333333333334	0.0	True	583333333.3333334
20260712	0.5	24full	0.696969696969697	0.0	True	696969696.969697
20260712	0.5	20raw	0.7241379310344828	0.0	True	724137931.0344827
20260712	0.5	20raw+minmax	0.7333333333333333	0.0	True	733333333.3333333
20260712	0.5	20raw+stat	0.7096774193548387	0.0	True	709677419.3548387
20260712	0.1	24full	0.8	0.0	True	800000000.0
20260712	0.1	20raw	0.8	0.0	True	800000000.0
20260712	0.1	20raw+minmax	0.75	0.0	True	750000000.0
20260712	0.1	20raw+stat	1.0	0.0	True	999999999.9999999
20260712	0.05	24full	0.75	0.0	True	750000000.0
20260712	0.05	20raw	0.75	0.0	True	750000000.0
20260712	0.05	20raw+minmax	0.75	0.0	True	750000000.0
20260712	0.05	20raw+stat	0.75	0.0	True	750000000.0
20260714	1.44	24full	0.5333333333333333	0.0	True	533333333.3333333
20260714	1.44	20raw	0.5568181818181818	0.0	True	556818181.8181818
20260714	1.44	20raw+minmax	0.5376344086021505	0.0	True	537634408.6021504
20260714	1.44	20raw+stat	0.5333333333333333	0.0	True	533333333.3333333
20260714	1.0	24full	0.5645161290322581	0.0	True	564516129.032258
20260714	1.0	20raw	0.6	0.0	True	600000000.0
20260714	1.0	20raw+minmax	0.5714285714285714	0.0	True	571428571.4285713
20260714	1.0	20raw+stat	0.5666666666666667	0.0	True	566666666.6666666
20260714	0.5	24full	0.5666666666666667	0.0	True	566666666.6666666
20260714	0.5	20raw	0.5862068965517241	0.0	True	586206896.5517241
20260714	0.5	20raw+minmax	0.5517241379310345	0.0	True	551724137.9310344
20260714	0.5	20raw+stat	0.5357142857142857	0.0	True	535714285.7142857
20260714	0.1	24full	0.2	0.0	True	200000000.0
20260714	0.1	20raw	0.2	0.0	True	200000000.0
20260714	0.1	20raw+minmax	0.3333333333333333	0.0	True	333333333.3333333
20260714	0.1	20raw+stat	0.2	0.0	True	200000000.0
20260714	0.05	24full	0.8	0.0	True	800000000.0
20260714	0.05	20raw	0.8	0.0	True	800000000.0
20260714	0.05	20raw+minmax	0.8	0.0	True	800000000.0
20260714	0.05	20raw+stat	0.75	0.0	True	750000000.0
