method	step	controller	rollouts_used	contrast_intent	contrast_magnitude	baseline_contrast_magnitude	contrast_restored	cost_ratio
areal	5	STATIC_G16	256	4	3.7628	3.2654	0.4974	2.0
areal	5	STATIC_G8	128	4	3.2654	3.2654	0.0	1.0
areal	6	ADAPTIVE_PP	168	5	4.6447	3.9218	0.7229	1.3125
areal	6	ADAPTIVE_PP_ORACLE	408	5	4.9994	3.9218	1.0776	3.1875
areal	6	DUALFORMER_PP	124	5	3.8123	3.9218	-0.1095	0.9688
areal	6	STATIC_G16	256	5	4.6447	3.9218	0.7229	2.0
areal	6	STATIC_G8	128	5	3.9218	3.9218	0.0	1.0
areal	7	ADAPTIVE_PP	144	2	1.7638	1.3128	0.451	1.125
areal	7	ADAPTIVE_PP_ORACLE	240	2	1.9996	1.3128	0.6868	1.875
areal	7	DUALFORMER_PP	154	2	1.3997	1.3128	0.0869	1.2031
areal	7	STATIC_G16	256	2	1.7638	1.3128	0.451	2.0
areal	7	STATIC_G8	128	2	1.3128	1.3128	0.0	1.0
areal	8	ADAPTIVE_PP	176	6	5.7528	5.1575	0.5953	1.375
areal	8	ADAPTIVE_PP_ORACLE	464	6	5.9996	5.1575	0.8421	3.625
areal	8	DUALFORMER_PP	174	6	5.2996	5.1575	0.1421	1.3594
areal	8	STATIC_G16	256	6	5.7528	5.1575	0.5953	2.0
areal	8	STATIC_G8	128	6	5.1575	5.1575	0.0	1.0
areal	9	ADAPTIVE_PP	168	5	4.8704	4.4852	0.3852	1.3125
areal	9	ADAPTIVE_PP_ORACLE	408	5	4.9998	4.4852	0.5146	3.1875
areal	9	DUALFORMER_PP	122	5	4.4125	4.4852	-0.0727	0.9531
areal	9	STATIC_G16	256	5	4.8704	4.4852	0.3852	2.0
areal	9	STATIC_G8	128	5	4.4852	4.4852	0.0	1.0
areal	10	ADAPTIVE_PP	168	5	4.5271	3.6019	0.9252	1.3125
areal	10	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.6019	1.3973	3.1875
areal	10	DUALFORMER_PP	98	5	3.2269	3.6019	-0.375	0.7656
areal	10	STATIC_G16	256	5	4.5271	3.6019	0.9252	2.0
areal	10	STATIC_G8	128	5	3.6019	3.6019	0.0	1.0
areal	11	ADAPTIVE_PP	192	8	7.5066	6.378	1.1286	1.5
areal	11	ADAPTIVE_PP_ORACLE	576	8	7.9992	6.378	1.6212	4.5
areal	11	DUALFORMER_PP	178	8	6.1262	6.378	-0.2518	1.3906
areal	11	STATIC_G16	256	8	7.5066	6.378	1.1286	2.0
areal	11	STATIC_G8	128	8	6.378	6.378	0.0	1.0
areal	12	ADAPTIVE_PP	152	3	2.9985	2.9289	0.0696	1.1875
areal	12	ADAPTIVE_PP_ORACLE	296	3	3.0	2.9289	0.0711	2.3125
