method	step	controller	rollouts_used	contrast_intent	contrast_magnitude	baseline_contrast_magnitude	contrast_restored	cost_ratio
grpo	19	STATIC_G8	128	6	4.5782	4.5782	0.0	1.0
grpo	20	ADAPTIVE_PP	176	6	5.8514	5.3246	0.5268	1.375
grpo	20	ADAPTIVE_PP_ORACLE	464	6	5.9998	5.3246	0.6752	3.625
grpo	20	DUALFORMER_PP	128	6	5.3128	5.3246	-0.0118	1.0
grpo	20	STATIC_G16	256	6	5.8514	5.3246	0.5268	2.0
grpo	20	STATIC_G8	128	6	5.3246	5.3246	0.0	1.0
grpo	21	ADAPTIVE_PP	160	4	3.7628	3.2654	0.4974	1.25
grpo	21	ADAPTIVE_PP_ORACLE	352	4	3.9996	3.2654	0.7342	2.75
grpo	21	DUALFORMER_PP	110	4	2.8267	3.2654	-0.4387	0.8594
grpo	21	STATIC_G16	256	4	3.7628	3.2654	0.4974	2.0
grpo	21	STATIC_G8	128	4	3.2654	3.2654	0.0	1.0
grpo	22	ADAPTIVE_PP	160	4	3.8709	3.5089	0.362	1.25
grpo	22	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.5089	0.4909	2.75
grpo	22	DUALFORMER_PP	96	4	3.885	3.5089	0.3761	0.75
grpo	22	STATIC_G16	256	4	3.8709	3.5089	0.362	2.0
grpo	22	STATIC_G8	128	4	3.5089	3.5089	0.0	1.0
grpo	23	ADAPTIVE_PP	144	2	1.8719	1.5563	0.3156	1.125
grpo	23	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.5563	0.4435	1.875
grpo	23	DUALFORMER_PP	94	2	1.4135	1.5563	-0.1428	0.7344
grpo	23	STATIC_G16	256	2	1.8719	1.5563	0.3156	2.0
grpo	23	STATIC_G8	128	2	1.5563	1.5563	0.0	1.0
grpo	24	ADAPTIVE_PP	152	3	2.6457	1.9692	0.6765	1.1875
grpo	24	ADAPTIVE_PP_ORACLE	296	3	2.9994	1.9692	1.0302	2.3125
grpo	24	DUALFORMER_PP	66	3	1.8133	1.9692	-0.1559	0.5156
grpo	24	STATIC_G16	256	3	2.6457	1.9692	0.6765	2.0
grpo	24	STATIC_G8	128	3	1.9692	1.9692	0.0	1.0
grpo	25	ADAPTIVE_PP	184	7	6.6347	5.8139	0.8208	1.4375
grpo	25	ADAPTIVE_PP_ORACLE	520	7	6.9994	5.8139	1.1855	4.0625
grpo	25	DUALFORMER_PP	154	7	5.8127	5.8139	-0.0012	1.2031
grpo	25	STATIC_G16	256	7	6.6347	5.8139	0.8208	2.0
grpo	25	STATIC_G8	128	7	5.8139	5.8139	0.0	1.0
grpo	26	ADAPTIVE_PP	152	3	2.7538	2.2127	0.5411	1.1875
grpo	26	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2127	0.7869	2.3125
grpo	26	DUALFORMER_PP	96	3	1.8271	2.2127	-0.3856	0.75
grpo	26	STATIC_G16	256	3	2.7538	2.2127	0.5411	2.0
grpo	26	STATIC_G8	128	3	2.2127	2.2127	0.0	1.0
grpo	27	ADAPTIVE_PP	136	1	1.0	0.9922	0.0078	1.0625
grpo	27	ADAPTIVE_PP_ORACLE	184	1	1.0	0.9922	0.0078	1.4375
grpo	27	DUALFORMER_PP	46	1	1.0	0.9922	0.0078	0.3594
grpo	27	STATIC_G16	256	1	1.0	0.9922	0.0078	2.0
grpo	27	STATIC_G8	128	1	0.9922	0.9922	0.0	1.0
grpo	28	ADAPTIVE_PP	152	3	2.7633	2.2891	0.4742	1.1875
grpo	28	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2891	0.7105	2.3125
grpo	28	DUALFORMER_PP	80	3	1.8267	2.2891	-0.4624	0.625
grpo	28	STATIC_G16	256	3	2.7633	2.2891	0.4742	2.0
grpo	28	STATIC_G8	128	3	2.2891	2.2891	0.0	1.0
grpo	29	ADAPTIVE_PP	152	3	2.7638	2.305	0.4588	1.1875
grpo	29	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.305	0.6946	2.3125
grpo	29	DUALFORMER_PP	50	3	1.8272	2.305	-0.4778	0.3906
grpo	29	STATIC_G16	256	3	2.7638	2.305	0.4588	2.0
grpo	29	STATIC_G8	128	3	2.305	2.305	0.0	1.0
grpo	30	ADAPTIVE_PP	152	3	2.7538	2.2127	0.5411	1.1875
grpo	30	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2127	0.7869	2.3125
grpo	30	DUALFORMER_PP	66	3	1.8271	2.2127	-0.3856	0.5156
grpo	30	STATIC_G16	256	3	2.7538	2.2127	0.5411	2.0
grpo	30	STATIC_G8	128	3	2.2127	2.2127	0.0	1.0
grpo	31	ADAPTIVE_PP	160	4	3.6357	2.8691	0.7666	1.25
grpo	31	ADAPTIVE_PP_ORACLE	352	4	3.9994	2.8691	1.1303	2.75
grpo	31	DUALFORMER_PP	72	4	2.7132	2.8691	-0.1559	0.5625
grpo	31	STATIC_G16	256	4	3.6357	2.8691	0.7666	2.0
grpo	31	STATIC_G8	128	4	2.8691	2.8691	0.0	1.0
grpo	32	ADAPTIVE_PP	168	5	4.8614	4.4247	0.4367	1.3125
grpo	32	ADAPTIVE_PP_ORACLE	408	5	4.9998	4.4247	0.5751	3.1875
grpo	32	DUALFORMER_PP	90	5	4.2134	4.4247	-0.2113	0.7031
grpo	32	STATIC_G16	256	5	4.8614	4.4247	0.4367	2.0
grpo	32	STATIC_G8	128	5	4.4247	4.4247	0.0	1.0
grpo	33	ADAPTIVE_PP	168	5	4.6352	3.8454	0.7898	1.3125
grpo	33	ADAPTIVE_PP_ORACLE	408	5	4.9994	3.8454	1.154	3.1875
grpo	33	DUALFORMER_PP	88	5	3.1402	3.8454	-0.7052	0.6875
grpo	33	STATIC_G16	256	5	4.6352	3.8454	0.7898	2.0
grpo	33	STATIC_G8	128	5	3.8454	3.8454	0.0	1.0
grpo	34	ADAPTIVE_PP	144	2	1.8719	1.5563	0.3156	1.125
grpo	34	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.5563	0.4435	1.875
grpo	34	DUALFORMER_PP	92	2	1.986	1.5563	0.4297	0.7188
grpo	34	STATIC_G16	256	2	1.8719	1.5563	0.3156	2.0
grpo	34	STATIC_G8	128	2	1.5563	1.5563	0.0	1.0
grpo	35	ADAPTIVE_PP	136	1	0.99	0.8999	0.0901	1.0625
grpo	35	ADAPTIVE_PP_ORACLE	184	1	1.0	0.8999	0.1001	1.4375
grpo	35	DUALFORMER_PP	98	1	0.8999	0.8999	0.0	0.7656
grpo	35	STATIC_G16	256	1	0.99	0.8999	0.0901	2.0
grpo	35	STATIC_G8	128	1	0.8999	0.8999	0.0	1.0
grpo	36	ADAPTIVE_PP	152	3	2.7633	2.2891	0.4742	1.1875
grpo	36	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.2891	0.7105	2.3125
grpo	36	DUALFORMER_PP	80	3	1.8267	2.2891	-0.4624	0.625
grpo	36	STATIC_G16	256	3	2.7633	2.2891	0.4742	2.0
grpo	36	STATIC_G8	128	3	2.2891	2.2891	0.0	1.0
grpo	37	ADAPTIVE_PP	160	4	3.8619	3.4484	0.4135	1.25
grpo	37	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.4484	0.5514	2.75
grpo	37	DUALFORMER_PP	172	4	3.8859	3.4484	0.4375	1.3438
grpo	37	STATIC_G16	256	4	3.8619	3.4484	0.4135	2.0
grpo	37	STATIC_G8	128	4	3.4484	3.4484	0.0	1.0
grpo	38	ADAPTIVE_PP	168	5	4.7433	4.0889	0.6544	1.3125
grpo	38	ADAPTIVE_PP_ORACLE	408	5	4.9996	4.0889	0.9107	3.1875
grpo	38	DUALFORMER_PP	140	5	3.8265	4.0889	-0.2624	1.0938
grpo	38	STATIC_G16	256	5	4.7433	4.0889	0.6544	2.0
grpo	38	STATIC_G8	128	5	4.0889	4.0889	0.0	1.0
grpo	39	ADAPTIVE_PP	160	4	3.8709	3.5089	0.362	1.25
grpo	39	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.5089	0.4909	2.75
grpo	39	DUALFORMER_PP	142	4	3.8855	3.5089	0.3766	1.1094
grpo	39	STATIC_G16	256	4	3.8709	3.5089	0.362	2.0
grpo	39	STATIC_G8	128	4	3.5089	3.5089	0.0	1.0
