fset	rate	resample	seed	catch_at_1pct
24full	0.0200	1	316	0.4861
24full	0.0200	2	42	0.4861
24full	0.0200	2	179	0.5000
24full	0.0200	2	316	0.4792
24full	0.0200	3	42	0.4861
24full	0.0200	3	179	0.5000
24full	0.0200	3	316	0.4792
24full	0.0200	4	42	0.4931
24full	0.0200	4	179	0.5000
24full	0.0200	4	316	0.4861
24full	0.0300	0	42	0.3264
24full	0.0300	0	179	0.3333
24full	0.0300	0	316	0.3264
24full	0.0300	1	42	0.3264
24full	0.0300	1	179	0.3333
24full	0.0300	1	316	0.3264
24full	0.0300	2	42	0.3264
24full	0.0300	2	179	0.3333
24full	0.0300	2	316	0.3264
24full	0.0300	3	42	0.3264
24full	0.0300	3	179	0.3333
24full	0.0300	3	316	0.3264
24full	0.0300	4	42	0.3264
24full	0.0300	4	179	0.3333
24full	0.0300	4	316	0.3264
24full	0.0500	0	42	0.2014
24full	0.0500	0	179	0.2014
24full	0.0500	0	316	0.2014
24full	0.0500	1	42	0.2014
24full	0.0500	1	179	0.2014
24full	0.0500	1	316	0.2014
24full	0.0500	2	42	0.2014
24full	0.0500	2	179	0.2014
24full	0.0500	2	316	0.2014
24full	0.0500	3	42	0.2014
24full	0.0500	3	179	0.2014
24full	0.0500	3	316	0.2014
24full	0.0500	4	42	0.2014
24full	0.0500	4	179	0.2014
24full	0.0500	4	316	0.2014
23_noVmean	0.0050	0	42	0.9236
23_noVmean	0.0050	0	179	0.8889
23_noVmean	0.0050	0	316	0.9306
23_noVmean	0.0050	1	42	0.9444
23_noVmean	0.0050	1	179	0.8889
23_noVmean	0.0050	1	316	0.9236
23_noVmean	0.0050	2	42	0.9167
23_noVmean	0.0050	2	179	0.8889
23_noVmean	0.0050	2	316	0.9375
23_noVmean	0.0050	3	42	0.9444
23_noVmean	0.0050	3	179	0.8889
23_noVmean	0.0050	3	316	0.9375
23_noVmean	0.0050	4	42	0.9236
23_noVmean	0.0050	4	179	0.8889
23_noVmean	0.0050	4	316	0.9236
23_noVmean	0.0100	0	42	0.7986
23_noVmean	0.0100	0	179	0.7569
23_noVmean	0.0100	0	316	0.7847
23_noVmean	0.0100	1	42	0.7986
23_noVmean	0.0100	1	179	0.7639
23_noVmean	0.0100	1	316	0.7708
23_noVmean	0.0100	2	42	0.7986
23_noVmean	0.0100	2	179	0.7569
23_noVmean	0.0100	2	316	0.7500
23_noVmean	0.0100	3	42	0.7778
23_noVmean	0.0100	3	179	0.7778
23_noVmean	0.0100	3	316	0.7639
23_noVmean	0.0100	4	42	0.8125
23_noVmean	0.0100	4	179	0.7917
23_noVmean	0.0100	4	316	0.7639
23_noVmean	0.0144	0	42	0.6319
23_noVmean	0.0144	0	179	0.6389
23_noVmean	0.0144	0	316	0.6250
23_noVmean	0.0144	1	42	0.6319
23_noVmean	0.0144	1	179	0.6389
23_noVmean	0.0144	1	316	0.6458
23_noVmean	0.0144	2	42	0.6250
23_noVmean	0.0144	2	179	0.6597
23_noVmean	0.0144	2	316	0.6319
23_noVmean	0.0144	3	42	0.6181
23_noVmean	0.0144	3	179	0.6528
23_noVmean	0.0144	3	316	0.6181
23_noVmean	0.0144	4	42	0.6250
23_noVmean	0.0144	4	179	0.6389
23_noVmean	0.0144	4	316	0.6389
23_noVmean	0.0200	0	42	0.4931
23_noVmean	0.0200	0	179	0.4861
23_noVmean	0.0200	0	316	0.4861
23_noVmean	0.0200	1	42	0.4861
23_noVmean	0.0200	1	179	0.4861
23_noVmean	0.0200	1	316	0.4792
23_noVmean	0.0200	2	42	0.4861
23_noVmean	0.0200	2	179	0.4861
23_noVmean	0.0200	2	316	0.4931
23_noVmean	0.0200	3	42	0.4861
23_noVmean	0.0200	3	179	0.4861
23_noVmean	0.0200	3	316	0.4861
23_noVmean	0.0200	4	42	0.5000
23_noVmean	0.0200	4	179	0.4931
23_noVmean	0.0200	4	316	0.4931
23_noVmean	0.0300	0	42	0.3333
23_noVmean	0.0300	0	179	0.3264
23_noVmean	0.0300	0	316	0.3264
23_noVmean	0.0300	1	42	0.3333
23_noVmean	0.0300	1	179	0.3264
23_noVmean	0.0300	1	316	0.3264
23_noVmean	0.0300	2	42	0.3333
23_noVmean	0.0300	2	179	0.3264
23_noVmean	0.0300	2	316	0.3264
23_noVmean	0.0300	3	42	0.3333
23_noVmean	0.0300	3	179	0.3264
23_noVmean	0.0300	3	316	0.3264
23_noVmean	0.0300	4	42	0.3333
23_noVmean	0.0300	4	179	0.3264
23_noVmean	0.0300	4	316	0.3264
23_noVmean	0.0500	0	42	0.2014
23_noVmean	0.0500	0	179	0.2014
23_noVmean	0.0500	0	316	0.2014
23_noVmean	0.0500	1	42	0.2014
23_noVmean	0.0500	1	179	0.2014
23_noVmean	0.0500	1	316	0.2014
23_noVmean	0.0500	2	42	0.2014
23_noVmean	0.0500	2	179	0.2014
23_noVmean	0.0500	2	316	0.2014
23_noVmean	0.0500	3	42	0.2014
23_noVmean	0.0500	3	179	0.2014
23_noVmean	0.0500	3	316	0.2014
23_noVmean	0.0500	4	42	0.2014
23_noVmean	0.0500	4	179	0.2014
23_noVmean	0.0500	4	316	0.2014
23_noVmax	0.0050	0	42	0.9167
23_noVmax	0.0050	0	179	0.9167
23_noVmax	0.0050	0	316	0.9306
23_noVmax	0.0050	1	42	0.9236
23_noVmax	0.0050	1	179	0.9167
23_noVmax	0.0050	1	316	0.9097
23_noVmax	0.0050	2	42	0.9167
23_noVmax	0.0050	2	179	0.9167
23_noVmax	0.0050	2	316	0.9236
23_noVmax	0.0050	3	42	0.9167
23_noVmax	0.0050	3	179	0.9167
23_noVmax	0.0050	3	316	0.9097
23_noVmax	0.0050	4	42	0.9236
23_noVmax	0.0050	4	179	0.9167
23_noVmax	0.0050	4	316	0.9097
23_noVmax	0.0100	0	42	0.7847
23_noVmax	0.0100	0	179	0.7847
23_noVmax	0.0100	0	316	0.7847
23_noVmax	0.0100	1	42	0.7708
23_noVmax	0.0100	1	179	0.7847
23_noVmax	0.0100	1	316	0.7917
23_noVmax	0.0100	2	42	0.7500
23_noVmax	0.0100	2	179	0.7847
23_noVmax	0.0100	2	316	0.7847
23_noVmax	0.0100	3	42	0.7639
23_noVmax	0.0100	3	179	0.7847
23_noVmax	0.0100	3	316	0.7847
23_noVmax	0.0100	4	42	0.7431
23_noVmax	0.0100	4	179	0.7847
23_noVmax	0.0100	4	316	0.7847
23_noVmax	0.0144	0	42	0.6181
23_noVmax	0.0144	0	179	0.6319
23_noVmax	0.0144	0	316	0.6458
23_noVmax	0.0144	1	42	0.6181
23_noVmax	0.0144	1	179	0.6111
23_noVmax	0.0144	1	316	0.6319
23_noVmax	0.0144	2	42	0.6250
23_noVmax	0.0144	2	179	0.6181
23_noVmax	0.0144	2	316	0.6389
23_noVmax	0.0144	3	42	0.6250
23_noVmax	0.0144	3	179	0.5972
23_noVmax	0.0144	3	316	0.6319
23_noVmax	0.0144	4	42	0.6458
23_noVmax	0.0144	4	179	0.6389
23_noVmax	0.0144	4	316	0.6458
23_noVmax	0.0200	0	42	0.4861
23_noVmax	0.0200	0	179	0.4792
23_noVmax	0.0200	0	316	0.4861
23_noVmax	0.0200	1	42	0.4861
23_noVmax	0.0200	1	179	0.4722
23_noVmax	0.0200	1	316	0.4792
23_noVmax	0.0200	2	42	0.4861
23_noVmax	0.0200	2	179	0.4861
23_noVmax	0.0200	2	316	0.4861
23_noVmax	0.0200	3	42	0.4861
23_noVmax	0.0200	3	179	0.4861
23_noVmax	0.0200	3	316	0.4861
23_noVmax	0.0200	4	42	0.4931
23_noVmax	0.0200	4	179	0.4931
23_noVmax	0.0200	4	316	0.4861
23_noVmax	0.0300	0	42	0.3194
23_noVmax	0.0300	0	179	0.3264
23_noVmax	0.0300	0	316	0.3264
23_noVmax	0.0300	1	42	0.3194
23_noVmax	0.0300	1	179	0.3264
23_noVmax	0.0300	1	316	0.3264
23_noVmax	0.0300	2	42	0.3264
23_noVmax	0.0300	2	179	0.3264
23_noVmax	0.0300	2	316	0.3264
23_noVmax	0.0300	3	42	0.3264
23_noVmax	0.0300	3	179	0.3264
23_noVmax	0.0300	3	316	0.3264
23_noVmax	0.0300	4	42	0.3194
23_noVmax	0.0300	4	179	0.3264
23_noVmax	0.0300	4	316	0.3264
23_noVmax	0.0500	0	42	0.2014
23_noVmax	0.0500	0	179	0.1944
23_noVmax	0.0500	0	316	0.2014
23_noVmax	0.0500	1	42	0.2014
23_noVmax	0.0500	1	179	0.2014
23_noVmax	0.0500	1	316	0.2014
23_noVmax	0.0500	2	42	0.2014
23_noVmax	0.0500	2	179	0.2014
23_noVmax	0.0500	2	316	0.2014
23_noVmax	0.0500	3	42	0.2014
23_noVmax	0.0500	3	179	0.2014
23_noVmax	0.0500	3	316	0.2014
23_noVmax	0.0500	4	42	0.2014
23_noVmax	0.0500	4	179	0.2014
23_noVmax	0.0500	4	316	0.2014
4sensor	0.0050	0	42	0.3194
4sensor	0.0050	0	179	0.2708
4sensor	0.0050	0	316	0.2847
4sensor	0.0050	1	42	0.3056
4sensor	0.0050	1	179	0.2639
4sensor	0.0050	1	316	0.2986
4sensor	0.0050	2	42	0.2917
4sensor	0.0050	2	179	0.2917
4sensor	0.0050	2	316	0.3056
4sensor	0.0050	3	42	0.3056
4sensor	0.0050	3	179	0.2708
4sensor	0.0050	3	316	0.2986
4sensor	0.0050	4	42	0.3194
4sensor	0.0050	4	179	0.2708
4sensor	0.0050	4	316	0.2986
4sensor	0.0100	0	42	0.2917
4sensor	0.0100	0	179	0.2361
4sensor	0.0100	0	316	0.2847
4sensor	0.0100	1	42	0.2847
4sensor	0.0100	1	179	0.2569
4sensor	0.0100	1	316	0.2986
4sensor	0.0100	2	42	0.2639
4sensor	0.0100	2	179	0.2639
4sensor	0.0100	2	316	0.2847
4sensor	0.0100	3	42	0.2847
4sensor	0.0100	3	179	0.2500
4sensor	0.0100	3	316	0.2569
4sensor	0.0100	4	42	0.2639
4sensor	0.0100	4	179	0.2361
4sensor	0.0100	4	316	0.2708
4sensor	0.0144	0	42	0.2292
4sensor	0.0144	0	179	0.2153
4sensor	0.0144	0	316	0.2153
4sensor	0.0144	1	42	0.2639
4sensor	0.0144	1	179	0.2361
4sensor	0.0144	1	316	0.2708
4sensor	0.0144	2	42	0.2222
4sensor	0.0144	2	179	0.2153
4sensor	0.0144	2	316	0.2639
4sensor	0.0144	3	42	0.2431
4sensor	0.0144	3	179	0.2361
4sensor	0.0144	3	316	0.2292
4sensor	0.0144	4	42	0.2431
4sensor	0.0144	4	179	0.2361
4sensor	0.0144	4	316	0.2708
4sensor	0.0200	0	42	0.2153
4sensor	0.0200	0	179	0.2014
4sensor	0.0200	0	316	0.2083
4sensor	0.0200	1	42	0.2292
4sensor	0.0200	1	179	0.1944
4sensor	0.0200	1	316	0.2222
4sensor	0.0200	2	42	0.2153
4sensor	0.0200	2	179	0.2153
4sensor	0.0200	2	316	0.2153
4sensor	0.0200	3	42	0.2153
4sensor	0.0200	3	179	0.2153
4sensor	0.0200	3	316	0.2153
4sensor	0.0200	4	42	0.2153
4sensor	0.0200	4	179	0.2153
4sensor	0.0200	4	316	0.2153
4sensor	0.0300	0	42	0.1875
4sensor	0.0300	0	179	0.1806
4sensor	0.0300	0	316	0.1667
4sensor	0.0300	1	42	0.2014
4sensor	0.0300	1	179	0.1806
4sensor	0.0300	1	316	0.1736
4sensor	0.0300	2	42	0.1528
4sensor	0.0300	2	179	0.1597
4sensor	0.0300	2	316	0.1528
4sensor	0.0300	3	42	0.1875
4sensor	0.0300	3	179	0.1597
4sensor	0.0300	3	316	0.1528
4sensor	0.0300	4	42	0.1667
4sensor	0.0300	4	179	0.1667
4sensor	0.0300	4	316	0.1806
4sensor	0.0500	0	42	0.1597
4sensor	0.0500	0	179	0.1458
4sensor	0.0500	0	316	0.1250
4sensor	0.0500	1	42	0.1181
4sensor	0.0500	1	179	0.1181
4sensor	0.0500	1	316	0.1111
4sensor	0.0500	2	42	0.1250
4sensor	0.0500	2	179	0.1181
4sensor	0.0500	2	316	0.1250
4sensor	0.0500	3	42	0.1389
4sensor	0.0500	3	179	0.1319
4sensor	0.0500	3	316	0.1250
4sensor	0.0500	4	42	0.1181
4sensor	0.0500	4	179	0.1181
4sensor	0.0500	4	316	0.1250
