perturb_type	feature	level	delta_recall_K2	delta_caught	delta_n_llm	delta_auc	ci_lo	ci_hi	p_zero_excl	verdict	sigma
sigma_noise	V6	0.100	0.0138889	2	1	2.39561e-05	-0.104167	0.104167	0.534	DEGRADES	1.94504
sigma_noise	V7	0.100	0.0138889	2	0	4.57984e-05	-0.111111	0.118056	0.523333	DEGRADES	1.88061
sigma_noise	V8	0.100	0.0138889	2	-1	5.91856e-05	-0.0972222	0.111111	0.542	DEGRADES	0.991795
sigma_noise	V9	0.100	0.0138889	2	0	8.45509e-05	-0.104167	0.104167	0.534667	DEGRADES	0.999027
sigma_noise	V10	0.100	0.00694444	1	-1	1.83194e-05	-0.111111	0.111111	0.535333	DEGRADES	2.37213
sigma_noise	V11	0.100	0.00694444	1	-1	-1.90239e-05	-0.0972222	0.0972222	0.54	DEGRADES	1.82544
sigma_noise	V12	0.100	0.0138889	2	-6	5.14351e-05	-0.111111	0.0972222	0.527333	DEGRADES	2.2605
sigma_noise	V13	0.100	0.0138889	2	-6	2.67744e-05	-0.104167	0.104167	0.531333	DEGRADES	0.996253
sigma_noise	V14	0.100	0.0138889	2	-4	2.11377e-05	-0.104167	0.104167	0.526667	DEGRADES	0.99525
sigma_noise	V15	0.100	0.0138889	2	-3	2.7479e-05	-0.111111	0.0972222	0.54	DEGRADES	4.66053
sigma_noise	V16	0.100	0.0138889	2	-4	4.6503e-05	-0.104167	0.111111	0.532	DEGRADES	1.85761
sigma_noise	V17	0.100	0.0138889	2	-2	7.60958e-05	-0.111111	0.111111	0.546667	DEGRADES	1.00456
sigma_noise	V18	0.100	0.0138889	2	-4	5.42535e-05	-0.111111	0.111111	0.538667	DEGRADES	0.992377
sigma_noise	V19	0.100	0.0138889	2	-2	2.11377e-06	-0.111111	0.107812	0.526667	DEGRADES	1.01435
sigma_noise	V20	0.100	0.0138889	2	2	1.33872e-05	-0.111111	0.0972222	0.541333	DEGRADES	1.6511
sigma_noise	V_mean	0.100	0.0138889	2	-7	7.04591e-05	-0.111111	0.104167	0.532	DEGRADES	0.499277
sigma_noise	V_std	0.100	0.0138889	2	-7	7.11636e-05	-0.111111	0.104167	0.525333	DEGRADES	0.549544
sigma_noise	V_max	0.100	0.0138889	2	-7	7.04591e-05	-0.104167	0.111111	0.536667	DEGRADES	1.80589
sigma_noise	V_min	0.100	0.0138889	2	-7	7.04591e-05	-0.104167	0.107812	0.542	DEGRADES	2.15366
sigma_noise	V1	0.200	0.0138889	2	-3	-7.46866e-05	-0.111111	0.118056	0.532	DEGRADES	2.10011
sigma_noise	V2	0.200	0.0138889	2	1	-1.12734e-05	-0.111111	0.104167	0.541333	DEGRADES	1.84712
sigma_noise	V3	0.200	0.0138889	2	-2	-5.35489e-05	-0.107812	0.104167	0.526667	DEGRADES	1.94765
sigma_noise	V4	0.200	0.0138889	2	-5	-5.35489e-05	-0.118056	0.111111	0.524	DEGRADES	1.00334
sigma_noise	V5	0.200	0.00694444	1	-3	-3.24112e-05	-0.104167	0.111111	0.528667	DEGRADES	1.94859
sigma_noise	V6	0.200	0.0138889	2	-2	-1.69102e-05	-0.107812	0.111111	0.54	DEGRADES	1.94504
sigma_noise	V7	0.200	0.0138889	2	-4	2.67744e-05	-0.104167	0.111111	0.528	DEGRADES	1.88061
sigma_noise	V8	0.200	0.0138889	2	-5	3.52295e-06	-0.104167	0.104167	0.537333	DEGRADES	0.991795
sigma_noise	V9	0.200	0.0138889	2	0	3.17066e-05	-0.107812	0.0972222	0.541333	DEGRADES	0.999027
sigma_noise	V10	0.200	0.0138889	2	-3	1.05689e-05	-0.104167	0.107812	0.527333	DEGRADES	2.37213
sigma_noise	V11	0.200	0.0138889	2	0	-5.91856e-05	-0.0972222	0.0972222	0.522	DEGRADES	1.82544
sigma_noise	V12	0.200	0.0138889	2	-8	-4.298e-05	-0.111111	0.111111	0.534	DEGRADES	2.2605
sigma_noise	V13	0.200	0.00694444	1	-5	-3.73433e-05	-0.104167	0.104167	0.533333	DEGRADES	0.996253
sigma_noise	V14	0.200	0.0138889	2	-4	-8.45509e-06	-0.100868	0.111111	0.531333	DEGRADES	0.99525
sigma_noise	V15	0.200	0.0138889	2	-1	-1.12734e-05	-0.111111	0.104167	0.531333	DEGRADES	4.66053
sigma_noise	V16	0.200	0.0138889	2	-5	-3.45249e-05	-0.100868	0.107812	0.53	DEGRADES	1.85761
sigma_noise	V17	0.200	0.0138889	2	-2	2.39561e-05	-0.104167	0.111111	0.552	DEGRADES	1.00456
sigma_noise	V18	0.200	0.00694444	1	-5	-2.88882e-05	-0.111111	0.104167	0.532667	DEGRADES	0.992377
sigma_noise	V19	0.200	0.0138889	2	-4	-3.02974e-05	-0.104167	0.104167	0.532	DEGRADES	1.01435
sigma_noise	V20	0.200	0	0	-6	-0.000135281	-0.118056	0.104167	0.537333	DEGRADES	1.6511
sigma_noise	V_mean	0.200	0.0138889	2	-7	7.04591e-05	-0.111111	0.104167	0.532	DEGRADES	0.499277
sigma_noise	V_std	0.200	0.0138889	2	-7	7.04591e-05	-0.111111	0.104167	0.525333	DEGRADES	0.549544
sigma_noise	V_max	0.200	0.0138889	2	-7	7.04591e-05	-0.104167	0.111111	0.536667	DEGRADES	1.80589
sigma_noise	V_min	0.200	0.0138889	2	-7	7.04591e-05	-0.104167	0.107812	0.542	DEGRADES	2.15366
mean_shift	V1	0.100	0	0	-4	-2.95928e-05	-0.104167	0.104167	0.534667	DEGRADES	2.10011
mean_shift	V2	0.100	0	0	1	3.52295e-06	-0.100868	0.104167	0.537333	DEGRADES	1.84712
mean_shift	V3	0.100	0.0138889	2	-1	5.07305e-05	-0.0972222	0.104167	0.532	DEGRADES	1.94765
mean_shift	V4	0.100	0.0138889	2	-5	8.52555e-05	-0.104167	0.104167	0.532	DEGRADES	1.00334
mean_shift	V5	0.100	0.0138889	2	1	4.298e-05	-0.0972222	0.104167	0.54	DEGRADES	1.94859
mean_shift	V6	0.100	0.00694444	1	1	3.94571e-05	-0.104167	0.107812	0.535333	DEGRADES	1.94504
mean_shift	V7	0.100	0	0	-4	9.15968e-06	-0.104167	0.104167	0.542667	DEGRADES	1.88061
mean_shift	V8	0.100	0.0138889	2	-5	0.000108507	-0.111111	0.0972222	0.527333	DEGRADES	0.991795
mean_shift	V9	0.100	0.0138889	2	-5	7.96187e-05	-0.104167	0.0972222	0.534667	DEGRADES	0.999027
mean_shift	V10	0.100	0.0138889	2	-3	8.80738e-05	-0.111111	0.104167	0.534	DEGRADES	2.37213
mean_shift	V11	0.100	0.0138889	2	-2	5.70718e-05	-0.104167	0.111111	0.532667	DEGRADES	1.82544
mean_shift	V12	0.100	0.0138889	2	-1	4.15708e-05	-0.0972222	0.104167	0.534667	DEGRADES	2.2605
mean_shift	V13	0.100	0.00694444	1	-6	2.18423e-05	-0.104167	0.104167	0.542	DEGRADES	0.996253
mean_shift	V14	0.100	0.00694444	1	-5	2.67744e-05	-0.0972222	0.0972222	0.535333	DEGRADES	0.99525
mean_shift	V15	0.100	0.0138889	2	-3	6.83453e-05	-0.104167	0.104167	0.541333	DEGRADES	4.66053
mean_shift	V16	0.100	0.00694444	1	-5	-2.67744e-05	-0.111111	0.104167	0.543333	DEGRADES	1.85761
mean_shift	V17	0.100	0.00694444	1	-3	-2.88882e-05	-0.104167	0.104167	0.53	DEGRADES	1.00456
mean_shift	V18	0.100	0	0	-7	-0.000186716	-0.107812	0.104167	0.536	DEGRADES	0.992377
mean_shift	V19	0.100	0.0208333	3	-3	0.00011203	-0.104167	0.104167	0.534	DEGRADES	1.01435
mean_shift	V20	0.100	0.00694444	1	-2	-5.14351e-05	-0.0902778	0.0972222	0.53	DEGRADES	1.6511
mean_shift	V_mean	0.100	0.0208333	3	-1	0.000116257	-0.0972222	0.0972222	0.531333	DEGRADES	0.499277
mean_shift	V_std	0.100	0.0208333	3	-1	0.000116257	-0.0972222	0.0902778	0.531333	DEGRADES	0.549544
mean_shift	V_max	0.100	0.0208333	3	-1	0.000114144	-0.0972222	0.104167	0.532667	DEGRADES	1.80589
mean_shift	V_min	0.100	0.0208333	3	-1	0.000116257	-0.100868	0.104167	0.536	DEGRADES	2.15366
