method	step	prompt_index	k_p_at_G8	boundary_at_G8	tau	G_N	y_at_G8	y_at_G_N	restored
grpo	12	4	8	1	0.7	16	0.0	0.0	0.0
grpo	12	5	8	1	0.7	16	0.0	0.0	0.0
grpo	12	6	8	1	0.7	16	0.0	0.0	0.0
grpo	12	7	8	1	0.7	16	0.0	0.0	0.0
grpo	12	8	8	1	0.7	16	0.0	0.0	0.0
grpo	12	9	8	1	0.7	16	0.0	0.0	0.0
grpo	12	10	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	12	11	6	0	0.7	16	0.8999	0.99	0.0901
grpo	12	12	8	1	0.7	16	0.0	0.0	0.0
grpo	12	13	8	1	0.7	16	0.0	0.0	0.0
grpo	12	14	8	1	0.7	16	0.0	0.0	0.0
grpo	12	15	8	1	0.7	16	0.0	0.0	0.0
grpo	14	0	6	0	0.7	16	0.8999	0.99	0.0901
grpo	14	1	8	1	0.7	16	0.0	0.0	0.0
grpo	14	2	8	1	0.7	16	0.0	0.0	0.0
grpo	14	3	8	1	0.7	16	0.0	0.0	0.0
grpo	14	4	8	1	0.7	16	0.0	0.0	0.0
grpo	14	5	8	1	0.7	16	0.0	0.0	0.0
grpo	14	6	8	1	0.7	16	0.0	0.0	0.0
grpo	14	7	8	1	0.7	16	0.0	0.0	0.0
grpo	14	8	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	14	9	4	0	0.7	16	0.9922	1.0	0.0078
grpo	14	10	8	1	0.7	16	0.0	0.0	0.0
grpo	14	11	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	14	12	8	1	0.7	16	0.0	0.0	0.0
grpo	14	13	8	1	0.7	16	0.0	0.0	0.0
grpo	14	14	0	1	0.7	16	0.0	0.0	0.0
grpo	14	15	8	1	0.7	16	0.0	0.0	0.0
grpo	15	0	8	1	0.7	16	0.0	0.0	0.0
grpo	15	1	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	15	2	8	1	0.7	16	0.0	0.0	0.0
grpo	15	3	8	1	0.7	16	0.0	0.0	0.0
grpo	15	4	1	0	0.7	16	0.6564	0.8819	0.2255
grpo	15	5	8	1	0.7	16	0.0	0.0	0.0
grpo	15	6	3	0	0.7	16	0.9763	0.9995	0.0231
grpo	15	7	8	1	0.7	16	0.0	0.0	0.0
grpo	15	8	8	1	0.7	16	0.0	0.0	0.0
grpo	15	9	8	1	0.7	16	0.0	0.0	0.0
grpo	15	10	4	0	0.7	16	0.9922	1.0	0.0078
grpo	15	11	8	1	0.7	16	0.0	0.0	0.0
grpo	15	12	8	1	0.7	16	0.0	0.0	0.0
grpo	15	13	8	1	0.7	16	0.0	0.0	0.0
grpo	15	14	8	1	0.7	16	0.0	0.0	0.0
grpo	15	15	8	1	0.7	16	0.0	0.0	0.0
grpo	21	0	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	21	1	8	1	0.7	16	0.0	0.0	0.0
grpo	21	2	8	1	0.7	16	0.0	0.0	0.0
grpo	21	3	8	1	0.7	16	0.0	0.0	0.0
grpo	21	4	8	1	0.7	16	0.0	0.0	0.0
grpo	21	5	8	1	0.7	16	0.0	0.0	0.0
grpo	21	6	8	1	0.7	16	0.0	0.0	0.0
grpo	21	7	3	0	0.7	16	0.9763	0.9995	0.0231
grpo	21	8	8	1	0.7	16	0.0	0.0	0.0
grpo	21	9	8	1	0.7	16	0.0	0.0	0.0
grpo	21	10	8	1	0.7	16	0.0	0.0	0.0
grpo	21	11	0	1	0.7	16	0.0	0.0	0.0
grpo	21	12	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	21	13	8	1	0.7	16	0.0	0.0	0.0
grpo	21	14	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	21	15	8	1	0.7	16	0.0	0.0	0.0
grpo	22	0	8	1	0.7	16	0.0	0.0	0.0
grpo	22	1	6	0	0.7	16	0.8999	0.99	0.0901
grpo	22	2	8	1	0.7	16	0.0	0.0	0.0
grpo	22	3	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	22	4	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	22	5	8	1	0.7	16	0.0	0.0	0.0
grpo	22	6	8	1	0.7	16	0.0	0.0	0.0
grpo	22	7	8	1	0.7	16	0.0	0.0	0.0
grpo	22	8	1	0	0.7	16	0.6564	0.8819	0.2255
grpo	22	9	8	1	0.7	16	0.0	0.0	0.0
grpo	22	10	8	1	0.7	16	0.0	0.0	0.0
grpo	22	11	8	1	0.7	16	0.0	0.0	0.0
grpo	22	12	8	1	0.7	16	0.0	0.0	0.0
grpo	22	13	8	1	0.7	16	0.0	0.0	0.0
grpo	22	14	8	1	0.7	16	0.0	0.0	0.0
grpo	22	15	8	1	0.7	16	0.0	0.0	0.0
grpo	23	0	8	1	0.7	16	0.0	0.0	0.0
grpo	23	1	8	1	0.7	16	0.0	0.0	0.0
grpo	23	2	8	1	0.7	16	0.0	0.0	0.0
grpo	23	3	8	1	0.7	16	0.0	0.0	0.0
grpo	23	4	8	1	0.7	16	0.0	0.0	0.0
grpo	23	5	8	1	0.7	16	0.0	0.0	0.0
grpo	23	6	2	0	0.7	16	0.8999	0.99	0.0901
grpo	23	7	8	1	0.7	16	0.0	0.0	0.0
grpo	23	8	8	1	0.7	16	0.0	0.0	0.0
grpo	23	9	8	1	0.7	16	0.0	0.0	0.0
grpo	23	10	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	23	11	8	1	0.7	16	0.0	0.0	0.0
grpo	23	12	8	1	0.7	16	0.0	0.0	0.0
grpo	23	13	8	1	0.7	16	0.0	0.0	0.0
grpo	23	14	8	1	0.7	16	0.0	0.0	0.0
grpo	23	15	0	1	0.7	16	0.0	0.0	0.0
grpo	24	0	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	24	1	8	1	0.7	16	0.0	0.0	0.0
grpo	24	2	8	1	0.7	16	0.0	0.0	0.0
grpo	24	3	8	1	0.7	16	0.0	0.0	0.0
grpo	24	4	1	0	0.7	16	0.6564	0.8819	0.2255
grpo	24	5	8	1	0.7	16	0.0	0.0	0.0
grpo	24	6	8	1	0.7	16	0.0	0.0	0.0
grpo	24	7	8	1	0.7	16	0.0	0.0	0.0
grpo	24	8	8	1	0.7	16	0.0	0.0	0.0
grpo	24	9	8	1	0.7	16	0.0	0.0	0.0
grpo	24	10	8	1	0.7	16	0.0	0.0	0.0
grpo	24	11	8	1	0.7	16	0.0	0.0	0.0
grpo	24	12	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	24	13	8	1	0.7	16	0.0	0.0	0.0
grpo	24	14	8	1	0.7	16	0.0	0.0	0.0
grpo	24	15	8	1	0.7	16	0.0	0.0	0.0
grpo	26	0	8	1	0.7	16	0.0	0.0	0.0
grpo	26	1	8	1	0.7	16	0.0	0.0	0.0
grpo	26	2	8	1	0.7	16	0.0	0.0	0.0
grpo	26	3	0	1	0.7	16	0.0	0.0	0.0
grpo	26	4	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	26	5	2	0	0.7	16	0.8999	0.99	0.0901
grpo	26	6	8	1	0.7	16	0.0	0.0	0.0
grpo	26	7	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	26	8	8	1	0.7	16	0.0	0.0	0.0
grpo	26	9	8	1	0.7	16	0.0	0.0	0.0
grpo	26	10	8	1	0.7	16	0.0	0.0	0.0
grpo	26	11	8	1	0.7	16	0.0	0.0	0.0
grpo	26	12	8	1	0.7	16	0.0	0.0	0.0
grpo	26	13	8	1	0.7	16	0.0	0.0	0.0
grpo	26	14	8	1	0.7	16	0.0	0.0	0.0
grpo	26	15	8	1	0.7	16	0.0	0.0	0.0
grpo	27	0	8	1	0.7	16	0.0	0.0	0.0
grpo	27	1	8	1	0.7	16	0.0	0.0	0.0
grpo	27	2	8	1	0.7	16	0.0	0.0	0.0
grpo	27	3	8	1	0.7	16	0.0	0.0	0.0
grpo	27	4	8	1	0.7	16	0.0	0.0	0.0
grpo	27	5	8	1	0.7	16	0.0	0.0	0.0
grpo	27	6	8	1	0.7	16	0.0	0.0	0.0
grpo	27	7	8	1	0.7	16	0.0	0.0	0.0
grpo	27	8	8	1	0.7	16	0.0	0.0	0.0
grpo	27	9	8	1	0.7	16	0.0	0.0	0.0
grpo	27	10	8	1	0.7	16	0.0	0.0	0.0
grpo	27	11	8	1	0.7	16	0.0	0.0	0.0
grpo	27	12	8	1	0.7	16	0.0	0.0	0.0
grpo	27	13	8	1	0.7	16	0.0	0.0	0.0
grpo	27	14	4	0	0.7	16	0.9922	1.0	0.0078
grpo	27	15	8	1	0.7	16	0.0	0.0	0.0
grpo	28	0	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	28	1	8	1	0.7	16	0.0	0.0	0.0
grpo	28	2	8	1	0.7	16	0.0	0.0	0.0
grpo	28	3	8	1	0.7	16	0.0	0.0	0.0
grpo	28	4	8	1	0.7	16	0.0	0.0	0.0
grpo	28	5	8	1	0.7	16	0.0	0.0	0.0
grpo	28	6	8	1	0.7	16	0.0	0.0	0.0
grpo	28	7	8	1	0.7	16	0.0	0.0	0.0
grpo	28	8	8	1	0.7	16	0.0	0.0	0.0
grpo	28	9	8	1	0.7	16	0.0	0.0	0.0
grpo	28	10	8	1	0.7	16	0.0	0.0	0.0
grpo	28	11	8	1	0.7	16	0.0	0.0	0.0
grpo	28	12	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	28	13	0	1	0.7	16	0.0	0.0	0.0
grpo	28	14	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	28	15	8	1	0.7	16	0.0	0.0	0.0
grpo	29	0	8	1	0.7	16	0.0	0.0	0.0
grpo	29	1	8	1	0.7	16	0.0	0.0	0.0
grpo	29	2	8	1	0.7	16	0.0	0.0	0.0
grpo	29	3	8	1	0.7	16	0.0	0.0	0.0
grpo	29	4	4	0	0.7	16	0.9922	1.0	0.0078
grpo	29	5	8	1	0.7	16	0.0	0.0	0.0
grpo	29	6	8	1	0.7	16	0.0	0.0	0.0
grpo	29	7	8	1	0.7	16	0.0	0.0	0.0
grpo	29	8	8	1	0.7	16	0.0	0.0	0.0
grpo	29	9	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	29	10	8	1	0.7	16	0.0	0.0	0.0
grpo	29	11	8	1	0.7	16	0.0	0.0	0.0
grpo	29	12	8	1	0.7	16	0.0	0.0	0.0
grpo	29	13	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	29	14	8	1	0.7	16	0.0	0.0	0.0
grpo	29	15	8	1	0.7	16	0.0	0.0	0.0
grpo	30	0	8	1	0.7	16	0.0	0.0	0.0
grpo	30	1	8	1	0.7	16	0.0	0.0	0.0
grpo	30	2	8	1	0.7	16	0.0	0.0	0.0
grpo	30	3	8	1	0.7	16	0.0	0.0	0.0
grpo	30	4	8	1	0.7	16	0.0	0.0	0.0
grpo	30	5	8	1	0.7	16	0.0	0.0	0.0
grpo	30	6	8	1	0.7	16	0.0	0.0	0.0
grpo	30	7	8	1	0.7	16	0.0	0.0	0.0
grpo	30	8	8	1	0.7	16	0.0	0.0	0.0
grpo	30	9	8	1	0.7	16	0.0	0.0	0.0
grpo	30	10	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	30	11	8	1	0.7	16	0.0	0.0	0.0
grpo	30	12	8	1	0.7	16	0.0	0.0	0.0
grpo	30	13	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	30	14	8	1	0.7	16	0.0	0.0	0.0
grpo	30	15	2	0	0.7	16	0.8999	0.99	0.0901
grpo	31	0	8	1	0.7	16	0.0	0.0	0.0
grpo	31	1	1	0	0.7	16	0.6564	0.8819	0.2255
grpo	31	2	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	31	3	8	1	0.7	16	0.0	0.0	0.0
grpo	31	4	8	1	0.7	16	0.0	0.0	0.0
grpo	31	5	8	1	0.7	16	0.0	0.0	0.0
grpo	31	6	8	1	0.7	16	0.0	0.0	0.0
grpo	31	7	8	1	0.7	16	0.0	0.0	0.0
grpo	31	8	8	1	0.7	16	0.0	0.0	0.0
grpo	31	9	8	1	0.7	16	0.0	0.0	0.0
grpo	31	10	8	1	0.7	16	0.0	0.0	0.0
grpo	31	11	8	1	0.7	16	0.0	0.0	0.0
grpo	31	12	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	31	13	6	0	0.7	16	0.8999	0.99	0.0901
grpo	31	14	8	1	0.7	16	0.0	0.0	0.0
grpo	31	15	8	1	0.7	16	0.0	0.0	0.0
grpo	34	0	8	1	0.7	16	0.0	0.0	0.0
grpo	34	1	8	1	0.7	16	0.0	0.0	0.0
grpo	34	2	8	1	0.7	16	0.0	0.0	0.0
grpo	34	3	8	1	0.7	16	0.0	0.0	0.0
grpo	34	4	8	1	0.7	16	0.0	0.0	0.0
grpo	34	5	8	1	0.7	16	0.0	0.0	0.0
grpo	34	6	1	0	0.7	16	0.6564	0.8819	0.2255
grpo	34	7	8	1	0.7	16	0.0	0.0	0.0
grpo	34	8	8	1	0.7	16	0.0	0.0	0.0
grpo	34	9	2	0	0.7	16	0.8999	0.99	0.0901
grpo	34	10	8	1	0.7	16	0.0	0.0	0.0
grpo	34	11	8	1	0.7	16	0.0	0.0	0.0
grpo	34	12	8	1	0.7	16	0.0	0.0	0.0
grpo	34	13	8	1	0.7	16	0.0	0.0	0.0
grpo	34	14	8	1	0.7	16	0.0	0.0	0.0
grpo	34	15	8	1	0.7	16	0.0	0.0	0.0
grpo	35	0	8	1	0.7	16	0.0	0.0	0.0
grpo	35	1	8	1	0.7	16	0.0	0.0	0.0
grpo	35	2	8	1	0.7	16	0.0	0.0	0.0
grpo	35	3	8	1	0.7	16	0.0	0.0	0.0
grpo	35	4	0	1	0.7	16	0.0	0.0	0.0
grpo	35	5	8	1	0.7	16	0.0	0.0	0.0
grpo	35	6	8	1	0.7	16	0.0	0.0	0.0
grpo	35	7	8	1	0.7	16	0.0	0.0	0.0
grpo	35	8	0	1	0.7	16	0.0	0.0	0.0
grpo	35	9	8	1	0.7	16	0.0	0.0	0.0
grpo	35	10	8	1	0.7	16	0.0	0.0	0.0
grpo	35	11	8	1	0.7	16	0.0	0.0	0.0
grpo	35	12	8	1	0.7	16	0.0	0.0	0.0
grpo	35	13	8	1	0.7	16	0.0	0.0	0.0
grpo	35	14	6	0	0.7	16	0.8999	0.99	0.0901
grpo	35	15	8	1	0.7	16	0.0	0.0	0.0
grpo	36	0	8	1	0.7	16	0.0	0.0	0.0
grpo	36	1	8	1	0.7	16	0.0	0.0	0.0
grpo	36	2	0	1	0.7	16	0.0	0.0	0.0
grpo	36	3	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	36	4	8	1	0.7	16	0.0	0.0	0.0
grpo	36	5	8	1	0.7	16	0.0	0.0	0.0
grpo	36	6	8	1	0.7	16	0.0	0.0	0.0
grpo	36	7	8	1	0.7	16	0.0	0.0	0.0
grpo	36	8	8	1	0.7	16	0.0	0.0	0.0
grpo	36	9	8	1	0.7	16	0.0	0.0	0.0
grpo	36	10	8	1	0.7	16	0.0	0.0	0.0
grpo	36	11	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	36	12	8	1	0.7	16	0.0	0.0	0.0
grpo	36	13	7	0	0.7	16	0.6564	0.8819	0.2255
grpo	36	14	8	1	0.7	16	0.0	0.0	0.0
grpo	36	15	8	1	0.7	16	0.0	0.0	0.0
grpo	37	0	8	1	0.7	16	0.0	0.0	0.0
grpo	37	1	0	1	0.7	16	0.0	0.0	0.0
grpo	37	2	8	1	0.7	16	0.0	0.0	0.0
grpo	37	3	8	1	0.7	16	0.0	0.0	0.0
grpo	37	4	8	1	0.7	16	0.0	0.0	0.0
grpo	37	5	8	1	0.7	16	0.0	0.0	0.0
grpo	37	6	6	0	0.7	16	0.8999	0.99	0.0901
grpo	37	7	4	0	0.7	16	0.9922	1.0	0.0078
grpo	37	8	8	1	0.7	16	0.0	0.0	0.0
grpo	37	9	8	1	0.7	16	0.0	0.0	0.0
grpo	37	10	2	0	0.7	16	0.8999	0.99	0.0901
grpo	37	11	0	1	0.7	16	0.0	0.0	0.0
grpo	37	12	8	1	0.7	16	0.0	0.0	0.0
grpo	37	13	8	1	0.7	16	0.0	0.0	0.0
grpo	37	14	8	1	0.7	16	0.0	0.0	0.0
grpo	37	15	1	0	0.7	16	0.6564	0.8819	0.2255
grpo	39	0	8	1	0.7	16	0.0	0.0	0.0
grpo	39	1	8	1	0.7	16	0.0	0.0	0.0
grpo	39	2	3	0	0.7	16	0.9763	0.9995	0.0231
grpo	39	3	8	1	0.7	16	0.0	0.0	0.0
grpo	39	4	1	0	0.7	16	0.6564	0.8819	0.2255
grpo	39	5	6	0	0.7	16	0.8999	0.99	0.0901
grpo	39	6	8	1	0.7	16	0.0	0.0	0.0
grpo	39	7	8	1	0.7	16	0.0	0.0	0.0
grpo	39	8	5	0	0.7	16	0.9763	0.9995	0.0231
grpo	39	9	8	1	0.7	16	0.0	0.0	0.0
grpo	39	10	8	1	0.7	16	0.0	0.0	0.0
grpo	39	11	8	1	0.7	16	0.0	0.0	0.0
grpo	39	12	8	1	0.7	16	0.0	0.0	0.0
grpo	39	13	8	1	0.7	16	0.0	0.0	0.0
grpo	39	14	8	1	0.7	16	0.0	0.0	0.0
grpo	39	15	0	1	0.7	16	0.0	0.0	0.0
aero	2	0	8	1	0.7	16	0.0	0.0	0.0
aero	2	1	8	1	0.7	16	0.0	0.0	0.0
aero	2	2	8	1	0.7	16	0.0	0.0	0.0
aero	2	3	8	1	0.7	16	0.0	0.0	0.0
aero	2	4	7	0	0.7	16	0.6564	0.8819	0.2255
aero	2	5	7	0	0.7	16	0.6564	0.8819	0.2255
aero	2	6	0	1	0.7	16	0.0	0.0	0.0
aero	2	7	8	1	0.7	16	0.0	0.0	0.0
aero	2	8	8	1	0.7	16	0.0	0.0	0.0
aero	2	9	1	0	0.7	16	0.6564	0.8819	0.2255
aero	2	10	8	1	0.7	16	0.0	0.0	0.0
aero	2	11	8	1	0.7	16	0.0	0.0	0.0
aero	2	12	8	1	0.7	16	0.0	0.0	0.0
aero	2	13	8	1	0.7	16	0.0	0.0	0.0
aero	2	14	8	1	0.7	16	0.0	0.0	0.0
aero	2	15	8	1	0.7	16	0.0	0.0	0.0
aero	4	0	8	1	0.7	16	0.0	0.0	0.0
aero	4	1	6	0	0.7	16	0.8999	0.99	0.0901
aero	4	2	0	1	0.7	16	0.0	0.0	0.0
aero	4	3	4	0	0.7	16	0.9922	1.0	0.0078
aero	4	4	8	1	0.7	16	0.0	0.0	0.0
aero	4	5	8	1	0.7	16	0.0	0.0	0.0
aero	4	6	8	1	0.7	16	0.0	0.0	0.0
aero	4	7	8	1	0.7	16	0.0	0.0	0.0
aero	4	8	8	1	0.7	16	0.0	0.0	0.0
aero	4	9	8	1	0.7	16	0.0	0.0	0.0
aero	4	10	8	1	0.7	16	0.0	0.0	0.0
aero	4	11	8	1	0.7	16	0.0	0.0	0.0
aero	4	12	8	1	0.7	16	0.0	0.0	0.0
aero	4	13	4	0	0.7	16	0.9922	1.0	0.0078
aero	4	14	8	1	0.7	16	0.0	0.0	0.0
aero	4	15	4	0	0.7	16	0.9922	1.0	0.0078
aero	6	0	8	1	0.7	16	0.0	0.0	0.0
aero	6	1	5	0	0.7	16	0.9763	0.9995	0.0231
aero	6	2	8	1	0.7	16	0.0	0.0	0.0
aero	6	3	0	1	0.7	16	0.0	0.0	0.0
aero	6	4	2	0	0.7	16	0.8999	0.99	0.0901
aero	6	5	8	1	0.7	16	0.0	0.0	0.0
aero	6	6	8	1	0.7	16	0.0	0.0	0.0
aero	6	7	8	1	0.7	16	0.0	0.0	0.0
aero	6	8	8	1	0.7	16	0.0	0.0	0.0
aero	6	9	8	1	0.7	16	0.0	0.0	0.0
aero	6	10	6	0	0.7	16	0.8999	0.99	0.0901
aero	6	11	8	1	0.7	16	0.0	0.0	0.0
aero	6	12	8	1	0.7	16	0.0	0.0	0.0
aero	6	13	0	1	0.7	16	0.0	0.0	0.0
aero	6	14	2	0	0.7	16	0.8999	0.99	0.0901
aero	6	15	8	1	0.7	16	0.0	0.0	0.0
aero	10	0	8	1	0.7	16	0.0	0.0	0.0
aero	10	1	8	1	0.7	16	0.0	0.0	0.0
aero	10	2	7	0	0.7	16	0.6564	0.8819	0.2255
aero	10	3	8	1	0.7	16	0.0	0.0	0.0
aero	10	4	8	1	0.7	16	0.0	0.0	0.0
aero	10	5	8	1	0.7	16	0.0	0.0	0.0
aero	10	6	6	0	0.7	16	0.8999	0.99	0.0901
aero	10	7	2	0	0.7	16	0.8999	0.99	0.0901
aero	10	8	8	1	0.7	16	0.0	0.0	0.0
aero	10	9	0	1	0.7	16	0.0	0.0	0.0
aero	10	10	8	1	0.7	16	0.0	0.0	0.0
aero	10	11	8	1	0.7	16	0.0	0.0	0.0
aero	10	12	8	1	0.7	16	0.0	0.0	0.0
aero	10	13	8	1	0.7	16	0.0	0.0	0.0
aero	10	14	6	0	0.7	16	0.8999	0.99	0.0901
aero	10	15	8	1	0.7	16	0.0	0.0	0.0
aero	14	0	8	1	0.7	16	0.0	0.0	0.0
aero	14	1	8	1	0.7	16	0.0	0.0	0.0
aero	14	2	8	1	0.7	16	0.0	0.0	0.0
aero	14	3	8	1	0.7	16	0.0	0.0	0.0
aero	14	4	8	1	0.7	16	0.0	0.0	0.0
aero	14	5	8	1	0.7	16	0.0	0.0	0.0
aero	14	6	8	1	0.7	16	0.0	0.0	0.0
aero	14	7	7	0	0.7	16	0.6564	0.8819	0.2255
aero	14	8	8	1	0.7	16	0.0	0.0	0.0
aero	14	9	4	0	0.7	16	0.9922	1.0	0.0078
aero	14	10	8	1	0.7	16	0.0	0.0	0.0
aero	14	11	7	0	0.7	16	0.6564	0.8819	0.2255
aero	14	12	8	1	0.7	16	0.0	0.0	0.0
aero	14	13	8	1	0.7	16	0.0	0.0	0.0
aero	14	14	4	0	0.7	16	0.9922	1.0	0.0078
aero	14	15	8	1	0.7	16	0.0	0.0	0.0
aero	15	0	8	1	0.7	16	0.0	0.0	0.0
aero	15	1	3	0	0.7	16	0.9763	0.9995	0.0231
aero	15	2	8	1	0.7	16	0.0	0.0	0.0
aero	15	3	8	1	0.7	16	0.0	0.0	0.0
aero	15	4	1	0	0.7	16	0.6564	0.8819	0.2255
aero	15	5	8	1	0.7	16	0.0	0.0	0.0
aero	15	6	5	0	0.7	16	0.9763	0.9995	0.0231
aero	15	7	8	1	0.7	16	0.0	0.0	0.0
aero	15	8	8	1	0.7	16	0.0	0.0	0.0
aero	15	9	8	1	0.7	16	0.0	0.0	0.0
aero	15	10	8	1	0.7	16	0.0	0.0	0.0
aero	15	11	8	1	0.7	16	0.0	0.0	0.0
aero	15	12	8	1	0.7	16	0.0	0.0	0.0
aero	15	13	8	1	0.7	16	0.0	0.0	0.0
aero	15	14	8	1	0.7	16	0.0	0.0	0.0
aero	15	15	8	1	0.7	16	0.0	0.0	0.0
aero	21	0	8	1	0.7	16	0.0	0.0	0.0
aero	21	1	8	1	0.7	16	0.0	0.0	0.0
aero	21	2	8	1	0.7	16	0.0	0.0	0.0
aero	21	3	8	1	0.7	16	0.0	0.0	0.0
aero	21	4	8	1	0.7	16	0.0	0.0	0.0
aero	21	5	8	1	0.7	16	0.0	0.0	0.0
aero	21	6	8	1	0.7	16	0.0	0.0	0.0
aero	21	7	1	0	0.7	16	0.6564	0.8819	0.2255
aero	21	8	8	1	0.7	16	0.0	0.0	0.0
aero	21	9	8	1	0.7	16	0.0	0.0	0.0
aero	21	10	8	1	0.7	16	0.0	0.0	0.0
aero	21	11	4	0	0.7	16	0.9922	1.0	0.0078
aero	21	12	7	0	0.7	16	0.6564	0.8819	0.2255
aero	21	13	8	1	0.7	16	0.0	0.0	0.0
aero	21	14	8	1	0.7	16	0.0	0.0	0.0
aero	21	15	8	1	0.7	16	0.0	0.0	0.0
aero	23	0	7	0	0.7	16	0.6564	0.8819	0.2255
aero	23	1	8	1	0.7	16	0.0	0.0	0.0
aero	23	2	8	1	0.7	16	0.0	0.0	0.0
aero	23	3	6	0	0.7	16	0.8999	0.99	0.0901
aero	23	4	8	1	0.7	16	0.0	0.0	0.0
aero	23	5	8	1	0.7	16	0.0	0.0	0.0
aero	23	6	2	0	0.7	16	0.8999	0.99	0.0901
aero	23	7	8	1	0.7	16	0.0	0.0	0.0
aero	23	8	8	1	0.7	16	0.0	0.0	0.0
aero	23	9	8	1	0.7	16	0.0	0.0	0.0
aero	23	10	8	1	0.7	16	0.0	0.0	0.0
aero	23	11	8	1	0.7	16	0.0	0.0	0.0
aero	23	12	8	1	0.7	16	0.0	0.0	0.0
aero	23	13	8	1	0.7	16	0.0	0.0	0.0
aero	23	14	8	1	0.7	16	0.0	0.0	0.0
aero	23	15	0	1	0.7	16	0.0	0.0	0.0
aero	24	0	7	0	0.7	16	0.6564	0.8819	0.2255
aero	24	1	8	1	0.7	16	0.0	0.0	0.0
aero	24	2	8	1	0.7	16	0.0	0.0	0.0
aero	24	3	8	1	0.7	16	0.0	0.0	0.0
aero	24	4	1	0	0.7	16	0.6564	0.8819	0.2255
aero	24	5	8	1	0.7	16	0.0	0.0	0.0
aero	24	6	8	1	0.7	16	0.0	0.0	0.0
aero	24	7	8	1	0.7	16	0.0	0.0	0.0
aero	24	8	8	1	0.7	16	0.0	0.0	0.0
aero	24	9	7	0	0.7	16	0.6564	0.8819	0.2255
aero	24	10	8	1	0.7	16	0.0	0.0	0.0
