method	controller	step	zvf	pcd	step_rollouts	fired	saved	wasted	contrast_intent	contrast_magnitude
grpo	C2_zt@0.5	0	0.6875	0.0390625	256	1	5	11	5	4.5177092319245356
grpo	C2_zt@0.5	1	0.5	0.0908203125	256	1	8	8	8	7.625662122220966
grpo	C2_zt@0.5	2	0.6875	0.052734375	256	1	5	11	5	4.743790292398467
grpo	C2_zt@0.5	3	0.75	0.037109375	256	1	4	12	4	3.743820825976591
grpo	C2_zt@0.5	4	0.6875	0.0576171875	256	1	5	11	5	4.85183478342927
grpo	C2_zt@0.5	5	0.6875	0.056640625	256	1	5	11	5	4.753782370810791
grpo	C2_zt@0.5	6	0.8125	0.033203125	256	1	3	13	3	2.871368270969375
grpo	C2_zt@0.5	7	0.6875	0.0478515625	256	1	5	11	5	4.635745801367664
grpo	C2_zt@0.5	8	0.5625	0.0732421875	256	1	7	9	7	6.624669182917506
grpo	C2_zt@0.5	9	0.6875	0.0517578125	256	1	5	11	5	4.743278555957675
grpo	C2_zt@0.5	10	0.6875	0.0517578125	256	1	5	11	5	4.743278555957674
grpo	C2_zt@0.5	11	0.6875	0.056640625	256	1	5	11	5	4.75378237081079
grpo	C2_zt@0.5	12	0.8125	0.0380859375	256	1	3	13	3	2.9794127620001776
grpo	C2_zt@0.5	13	0.5625	0.0693359375	256	1	7	9	7	6.517136428327495
grpo	C2_zt@0.5	14	0.75	0.041015625	256	1	4	12	4	3.753812904388915
grpo	C2_zt@0.5	15	0.75	0.0517578125	256	1	4	12	4	3.8808180793627822
grpo	C2_zt@0.5	16	0.625	0.07421875	256	1	6	10	6	5.860261118941092
grpo	C2_zt@0.5	17	0.5	0.0859375	256	1	8	8	8	7.615158307367849
grpo	C2_zt@0.5	18	0.5625	0.0947265625	256	1	7	9	7	6.9682750763937715
grpo	C2_zt@0.5	19	0.625	0.056640625	256	1	6	10	6	5.5266473038771515
grpo	C2_zt@0.5	20	0.625	0.072265625	256	1	6	10	6	5.851292513410352
grpo	C2_zt@0.5	21	0.75	0.04296875	256	1	4	12	4	3.7627815099196544
