tau_esc	tau_des	seed	total_G	savings	fire_rate	escalations	deescalations	headroom_bad
0.6	0.7	590	140	-0.16666666666666666	0.6666666666666666	5	5	0
0.6	0.75	179	152	-0.26666666666666666	0.6666666666666666	6	4	0
0.6	0.75	316	144	-0.2	0.6	5	4	0
0.6	0.75	42	144	-0.2	0.4	4	2	0
0.6	0.75	453	128	-0.06666666666666667	0.6666666666666666	4	6	0
0.6	0.75	590	140	-0.16666666666666666	0.6666666666666666	5	5	0
0.6	0.8	179	200	-0.6666666666666666	0.6666666666666666	10	0	0
0.6	0.8	316	192	-0.6	0.6	9	0	0
0.6	0.8	42	168	-0.4	0.4	6	0	0
0.6	0.8	453	188	-0.5666666666666667	0.6666666666666666	9	1	0
0.6	0.8	590	176	-0.4666666666666667	0.6666666666666666	8	2	0
0.6	0.85	179	200	-0.6666666666666666	0.6666666666666666	10	0	0
0.6	0.85	316	192	-0.6	0.6	9	0	0
0.6	0.85	42	168	-0.4	0.4	6	0	0
0.6	0.85	453	188	-0.5666666666666667	0.6666666666666666	9	1	0
0.6	0.85	590	176	-0.4666666666666667	0.6666666666666666	8	2	0
0.65	0.7	179	104	0.13333333333333333	0.26666666666666666	0	4	0
0.65	0.7	316	104	0.13333333333333333	0.26666666666666666	0	4	0
0.65	0.7	42	112	0.06666666666666667	0.13333333333333333	0	2	0
0.65	0.7	453	96	0.2	0.4	0	6	0
0.65	0.7	590	100	0.16666666666666666	0.3333333333333333	0	5	0
0.65	0.75	179	104	0.13333333333333333	0.26666666666666666	0	4	0
0.65	0.75	316	104	0.13333333333333333	0.26666666666666666	0	4	0
0.65	0.75	42	112	0.06666666666666667	0.13333333333333333	0	2	0
0.65	0.75	453	96	0.2	0.4	0	6	0
0.65	0.75	590	100	0.16666666666666666	0.3333333333333333	0	5	0
0.65	0.8	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.65	0.8	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.65	0.8	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.65	0.8	453	156	-0.3	0.4	5	1	0
0.65	0.8	590	136	-0.13333333333333333	0.3333333333333333	3	2	0
0.65	0.85	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.65	0.85	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.65	0.85	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.65	0.85	453	156	-0.3	0.4	5	1	0
0.65	0.85	590	136	-0.13333333333333333	0.3333333333333333	3	2	0
0.65	0.9	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.65	0.9	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.65	0.9	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.65	0.9	453	168	-0.4	0.4	6	0	0
0.65	0.9	590	160	-0.3333333333333333	0.3333333333333333	5	0	0
0.7	0.75	179	104	0.13333333333333333	0.26666666666666666	0	4	0
0.7	0.75	316	104	0.13333333333333333	0.26666666666666666	0	4	0
0.7	0.75	42	112	0.06666666666666667	0.13333333333333333	0	2	0
0.7	0.75	453	96	0.2	0.4	0	6	0
0.7	0.75	590	100	0.16666666666666666	0.3333333333333333	0	5	0
0.7	0.8	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.8	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.8	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.7	0.8	453	156	-0.3	0.4	5	1	0
0.7	0.8	590	136	-0.13333333333333333	0.3333333333333333	3	2	0
0.7	0.85	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.85	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.85	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.7	0.85	453	156	-0.3	0.4	5	1	0
0.7	0.85	590	136	-0.13333333333333333	0.3333333333333333	3	2	0
0.7	0.9	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.9	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.9	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.7	0.9	453	168	-0.4	0.4	6	0	0
0.7	0.9	590	160	-0.3333333333333333	0.3333333333333333	5	0	0
0.7	0.95	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.95	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.7	0.95	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.7	0.95	453	168	-0.4	0.4	6	0	0
0.7	0.95	590	160	-0.3333333333333333	0.3333333333333333	5	0	0
0.75	0.8	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.8	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.8	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.75	0.8	453	156	-0.3	0.4	5	1	0
0.75	0.8	590	136	-0.13333333333333333	0.3333333333333333	3	2	0
0.75	0.85	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.85	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.85	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.75	0.85	453	156	-0.3	0.4	5	1	0
0.75	0.85	590	136	-0.13333333333333333	0.3333333333333333	3	2	0
0.75	0.9	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.9	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.9	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.75	0.9	453	168	-0.4	0.4	6	0	0
0.75	0.9	590	160	-0.3333333333333333	0.3333333333333333	5	0	0
0.75	0.95	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.95	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	0.95	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.75	0.95	453	168	-0.4	0.4	6	0	0
0.75	0.95	590	160	-0.3333333333333333	0.3333333333333333	5	0	0
0.75	1.0	179	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	1.0	316	152	-0.26666666666666666	0.26666666666666666	4	0	0
0.75	1.0	42	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.75	1.0	453	168	-0.4	0.4	6	0	0
0.75	1.0	590	160	-0.3333333333333333	0.3333333333333333	5	0	0
0.8	0.85	179	120	0.0	0.0	0	0	0
0.8	0.85	316	120	0.0	0.0	0	0	0
0.8	0.85	42	120	0.0	0.0	0	0	0
0.8	0.85	453	116	0.03333333333333333	0.06666666666666667	0	1	0
0.8	0.85	590	112	0.06666666666666667	0.13333333333333333	0	2	0
0.8	0.9	179	120	0.0	0.0	0	0	0
0.8	0.9	316	120	0.0	0.0	0	0	0
0.8	0.9	42	120	0.0	0.0	0	0	0
0.8	0.9	453	128	-0.06666666666666667	0.06666666666666667	1	0	0
0.8	0.9	590	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.8	0.95	179	120	0.0	0.0	0	0	0
0.8	0.95	316	120	0.0	0.0	0	0	0
0.8	0.95	42	120	0.0	0.0	0	0	0
0.8	0.95	453	128	-0.06666666666666667	0.06666666666666667	1	0	0
0.8	0.95	590	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.8	1.0	179	120	0.0	0.0	0	0	0
0.8	1.0	316	120	0.0	0.0	0	0	0
0.8	1.0	42	120	0.0	0.0	0	0	0
0.8	1.0	453	128	-0.06666666666666667	0.06666666666666667	1	0	0
0.8	1.0	590	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.85	0.9	179	120	0.0	0.0	0	0	0
0.85	0.9	316	120	0.0	0.0	0	0	0
0.85	0.9	42	120	0.0	0.0	0	0	0
0.85	0.9	453	128	-0.06666666666666667	0.06666666666666667	1	0	0
0.85	0.9	590	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.85	0.95	179	120	0.0	0.0	0	0	0
0.85	0.95	316	120	0.0	0.0	0	0	0
0.85	0.95	42	120	0.0	0.0	0	0	0
0.85	0.95	453	128	-0.06666666666666667	0.06666666666666667	1	0	0
0.85	0.95	590	136	-0.13333333333333333	0.13333333333333333	2	0	0
0.85	1.0	179	120	0.0	0.0	0	0	0
0.85	1.0	316	120	0.0	0.0	0	0	0
0.85	1.0	42	120	0.0	0.0	0	0	0
0.85	1.0	453	128	-0.06666666666666667	0.06666666666666667	1	0	0
0.85	1.0	590	136	-0.13333333333333333	0.13333333333333333	2	0	0
