model	C_inv	L	rho	tau_star	tp_at_tau_star	cost_per_dec_usd	cost_per_caught_usd
XGB-20raw	1.0	250.0	250.0	0.03727451711893082	142	0.0861	6.063380281690141
XGB-24full	1.0	250.0	250.0	0.05550694838166237	141	0.1041	7.382978723404255
XGB-4sensor	1.0	250.0	250.0	0.01649005524814129	138	0.4384	31.768115942028984
XGB-20raw	1.0	1000.0	1000.0	0.012312019243836403	144	0.1389	9.645833333333334
XGB-24full	1.0	1000.0	1000.0	0.013741803355515003	144	0.1194	8.291666666666666
XGB-4sensor	1.0	1000.0	1000.0	0.010923336260020733	143	0.5778	40.40559440559441
XGB-20raw	2.5	5.0	2.0	0.15644635260105133	117	0.04625	3.952991452991453
XGB-24full	2.5	5.0	2.0	0.20375405251979828	117	0.04775	4.081196581196581
XGB-4sensor	2.5	5.0	2.0	0.16545218229293823	12	0.07375000000000001	61.458333333333336
XGB-20raw	2.5	25.0	10.0	0.0826466977596283	130	0.07925	6.096153846153846
XGB-24full	2.5	25.0	10.0	0.0955514907836914	134	0.07125000000000001	5.317164179104478
XGB-4sensor	2.5	25.0	10.0	0.05233317241072655	70	0.2535	36.214285714285715
XGB-20raw	2.5	100.0	40.0	0.03727451711893082	142	0.11025	7.764084507042254
XGB-24full	2.5	100.0	40.0	0.05550694838166237	141	0.0975	6.914893617021277
XGB-4sensor	2.5	100.0	40.0	0.024460962042212486	125	0.54575	43.66
XGB-20raw	2.5	250.0	100.0	0.03727451711893082	142	0.14025	9.876760563380282
XGB-24full	2.5	250.0	100.0	0.05550694838166237	141	0.14250000000000002	10.106382978723405
XGB-4sensor	2.5	250.0	100.0	0.01903435029089451	135	0.7969999999999999	59.03703703703704
XGB-20raw	2.5	1000.0	400.0	0.02095082215964794	143	0.2815	19.685314685314687
XGB-24full	2.5	1000.0	400.0	0.013741803355515003	144	0.29325	20.364583333333332
XGB-4sensor	2.5	1000.0	400.0	0.01388558279722929	141	1.2175	86.34751773049645
XGB-20raw	5.0	5.0	1.0	0.9958788156509399	1	0.072	720.0
XGB-24full	5.0	5.0	1.0	0.9887470602989197	1	0.0755	755.0
XGB-4sensor	5.0	5.0	1.0	0.3671809136867523	1	0.0755	755.0
XGB-20raw	5.0	25.0	5.0	0.0826466977596283	130	0.1235	9.5
XGB-24full	5.0	25.0	5.0	0.10578137636184692	132	0.1135	8.598484848484848
XGB-4sensor	5.0	25.0	5.0	0.05336644873023033	69	0.317	45.94202898550725
XGB-20raw	5.0	100.0	20.0	0.04438880458474159	140	0.189	13.5
XGB-24full	5.0	100.0	20.0	0.05550694838166237	141	0.1615	11.453900709219859
XGB-4sensor	5.0	100.0	20.0	0.03625835105776787	99	0.7579999999999999	76.56565656565657
XGB-20raw	5.0	250.0	50.0	0.03727451711893082	142	0.2305	16.232394366197184
XGB-24full	5.0	250.0	50.0	0.05550694838166237	141	0.20650000000000002	14.645390070921986
XGB-4sensor	5.0	250.0	50.0	0.024460962042212486	125	1.183	94.64
XGB-20raw	5.0	1000.0	200.0	0.03727451711893082	142	0.3805	26.795774647887324
XGB-24full	5.0	1000.0	200.0	0.05550694838166237	141	0.4315	30.602836879432623
XGB-4sensor	5.0	1000.0	200.0	0.01649005524814129	138	2.028	146.95652173913044
