method	step	group_size	reward_mean	zvf_obs	zvf_iid	delta_div	y_obs	y_iid	p_mean
grpo	25	8	0.789062	0.5625	0.636632	0.074132	0.4375	0.363368	0.789062
grpo	26	8	0.875	0.8125	0.861709	0.049209	0.1875	0.138291	0.875
grpo	27	8	0.96875	0.9375	0.937988	0.000488	0.0625	0.062012	0.96875
grpo	28	8	0.898438	0.8125	0.856931	0.044431	0.1875	0.143069	0.898438
grpo	29	8	0.953125	0.8125	0.855939	0.043439	0.1875	0.144061	0.953125
grpo	30	8	0.9375	0.8125	0.861709	0.049209	0.1875	0.138291	0.9375
grpo	31	8	0.914062	0.75	0.820685	0.070685	0.25	0.179315	0.914062
grpo	32	8	0.890625	0.6875	0.723459	0.035959	0.3125	0.276541	0.890625
grpo	33	8	0.875	0.6875	0.759664	0.072164	0.3125	0.240336	0.875
grpo	34	8	0.898438	0.875	0.902734	0.027734	0.125	0.097266	0.898438
grpo	35	8	0.859375	0.9375	0.943758	0.006258	0.0625	0.056242	0.859375
grpo	36	8	0.898438	0.8125	0.856931	0.044431	0.1875	0.143069	0.898438
grpo	37	8	0.726562	0.75	0.78448	0.03448	0.25	0.21552	0.726562
grpo	38	8	0.804688	0.6875	0.744447	0.056947	0.3125	0.255553	0.804688
grpo	39	8	0.804688	0.75	0.780693	0.030693	0.25	0.219307	0.804688
aero	0	8	0.789062	0.6875	0.774882	0.087382	0.3125	0.225118	0.789062
aero	1	8	0.820312	0.6875	0.698685	0.011185	0.3125	0.301315	0.820312
aero	2	8	0.867188	0.8125	0.876927	0.064427	0.1875	0.123073	0.867188
aero	3	8	0.757812	0.6875	0.724451	0.036951	0.3125	0.275549	0.757812
aero	4	8	0.828125	0.75	0.757723	0.007723	0.25	0.242277	0.828125
aero	5	8	0.640625	0.5625	0.64718	0.08468	0.4375	0.35282	0.640625
aero	6	8	0.742188	0.75	0.770254	0.020254	0.25	0.229746	0.742188
aero	7	8	0.710938	0.625	0.692874	0.067874	0.375	0.307126	0.710938
aero	8	8	0.75	0.6875	0.697694	0.010194	0.3125	0.302306	0.75
aero	9	8	0.859375	0.625	0.683426	0.058426	0.375	0.316574	0.859375
aero	10	8	0.851562	0.75	0.79025	0.04025	0.25	0.20975	0.851562
aero	11	8	0.757812	0.5625	0.609984	0.047484	0.4375	0.390016	0.757812
aero	12	8	0.867188	0.6875	0.724451	0.036951	0.3125	0.275549	0.867188
aero	13	8	0.710938	0.5625	0.578449	0.015949	0.4375	0.421551	0.710938
aero	14	8	0.921875	0.75	0.793928	0.043928	0.25	0.206072	0.921875
aero	15	8	0.882812	0.8125	0.836935	0.024435	0.1875	0.163065	0.882812
aero	16	8	0.71875	0.5625	0.619432	0.056932	0.4375	0.380568	0.71875
aero	17	8	0.78125	0.5625	0.615645	0.053145	0.4375	0.384355	0.78125
aero	18	8	0.703125	0.625	0.681444	0.056444	0.375	0.318556	0.703125
aero	19	8	0.78125	0.625	0.667218	0.042218	0.375	0.332782	0.78125
aero	20	8	0.828125	0.625	0.691883	0.066883	0.375	0.308117	0.828125
aero	21	8	0.90625	0.8125	0.855939	0.043439	0.1875	0.144061	0.90625
aero	22	8	0.898438	0.6875	0.774882	0.087382	0.3125	0.225118	0.898438
aero	23	8	0.867188	0.8125	0.846492	0.033992	0.1875	0.153508	0.867188
aero	24	8	0.929688	0.8125	0.876927	0.064427	0.1875	0.123073	0.929688
aero	25	8	0.820312	0.6875	0.744447	0.056947	0.3125	0.255553	0.820312
aero	26	8	0.820312	0.875	0.882738	0.007738	0.125	0.117262	0.820312
aero	27	8	0.976562	0.9375	0.93898	0.00148	0.0625	0.06102	0.976562
aero	28	8	0.90625	0.8125	0.855939	0.043439	0.1875	0.144061	0.90625
aero	29	8	0.9375	0.875	0.887516	0.012516	0.125	0.112484	0.9375
aero	30	8	0.9375	0.8125	0.861709	0.049209	0.1875	0.138291	0.9375
aero	31	8	0.90625	0.8125	0.861709	0.049209	0.1875	0.138291	0.90625
aero	32	8	0.875	0.75	0.779701	0.029701	0.25	0.220299	0.875
aero	33	8	0.867188	0.625	0.698644	0.073644	0.375	0.301356	0.867188
aero	34	8	0.890625	0.875	0.897955	0.022955	0.125	0.102045	0.890625
