seed	rate_pct	fset	cheap_cost	frontier_cost	monotone_in_tier_price	ratio_frontier_over_cheap
20260712	1.0	20raw+stat	0.014240000000000001	4.271999999999999	True	299.99999999999994
20260714	1.0	20raw+stat	0.014647058823529412	4.394117647058824	True	300.0
20260706	0.5	24full	0.04936	14.807999999999998	True	299.99999999999994
20260708	0.5	24full	0.0309	9.27	True	300.0
20260710	0.5	24full	0.027483333333333335	8.245	True	299.99999999999994
20260712	0.5	24full	0.021534782608695652	6.460434782608695	True	300.0
20260714	0.5	24full	0.029129411764705883	8.738823529411764	True	300.0
20260706	0.5	20raw	0.041225000000000005	12.3675	True	299.99999999999994
20260708	0.5	20raw	0.030937500000000003	9.28125	True	299.99999999999994
20260710	0.5	20raw	0.027522222222222222	8.256666666666668	True	300.00000000000006
20260712	0.5	20raw	0.023623809523809526	7.087142857142856	True	299.99999999999994
20260714	0.5	20raw	0.029141176470588236	8.74235294117647	True	300.0
20260706	0.5	20raw+minmax	0.04128333333333333	12.385	True	300.0
20260708	0.5	20raw+minmax	0.032946666666666666	9.883999999999999	True	299.99999999999994
20260710	0.5	20raw+minmax	0.027544444444444444	8.263333333333332	True	299.99999999999994
20260712	0.5	20raw+minmax	0.022572727272727276	6.7718181818181815	True	299.99999999999994
20260714	0.5	20raw+minmax	0.030937500000000003	9.28125	True	299.99999999999994
20260706	0.5	20raw+stat	0.04936	14.807999999999998	True	299.99999999999994
20260708	0.5	20raw+stat	0.03089375	9.268125	True	300.0
20260710	0.5	20raw+stat	0.03298	9.894	True	300.0
20260712	0.5	20raw+stat	0.022531818181818184	6.759545454545455	True	300.0
20260714	0.5	20raw+stat	0.033	9.9	True	300.0
20260706	0.1	24full	0.08201666666666667	24.605	True	300.0
20260708	0.1	24full	0.12312500000000001	36.9375	True	299.99999999999994
20260710	0.1	24full	0.09854	29.562	True	300.0
20260712	0.1	24full	0.123175	36.9525	True	300.0
20260714	0.1	24full	0.49260000000000004	147.78	True	300.0
20260706	0.1	20raw	0.08218333333333334	24.655	True	300.0
20260708	0.1	20raw	0.16433333333333336	49.300000000000004	True	300.0
20260710	0.1	20raw	0.0985	29.55	True	300.0
20260712	0.1	20raw	0.12337500000000001	37.012499999999996	True	299.99999999999994
20260714	0.1	20raw	0.4927	147.81	True	300.0
20260706	0.1	20raw+minmax	0.08233333333333334	24.7	True	299.99999999999994
20260708	0.1	20raw+minmax	0.1641	49.23	True	300.0
20260710	0.1	20raw+minmax	0.09870000000000001	29.609999999999996	True	299.99999999999994
20260712	0.1	20raw+minmax	0.16473333333333334	49.419999999999995	True	299.99999999999994
20260714	0.1	20raw+minmax	0.24625000000000002	73.875	True	299.99999999999994
20260706	0.1	20raw+stat	0.08201666666666667	24.605	True	300.0
20260708	0.1	20raw+stat	0.09844	29.532	True	300.0
20260710	0.1	20raw+stat	0.09846	29.538	True	300.0
20260712	0.1	20raw+stat	0.16440000000000002	49.32	True	299.99999999999994
20260714	0.1	20raw+stat	0.49250000000000005	147.75	True	299.99999999999994
20260706	0.05	24full	0.49160000000000004	147.48	True	299.99999999999994
20260708	0.05	24full	0.4922	147.66	True	300.0
20260710	0.05	24full	0.49250000000000005	147.75	True	299.99999999999994
20260712	0.05	24full	0.16413333333333333	49.24	True	300.0
20260714	0.05	24full	0.12312500000000001	36.9375	True	299.99999999999994
20260706	0.05	20raw	0.49250000000000005	147.75	True	299.99999999999994
20260708	0.05	20raw	0.4927	147.81	True	300.0
20260710	0.05	20raw	0.4923	147.69	True	300.0
20260712	0.05	20raw	0.1643666666666667	49.31	True	300.0
20260714	0.05	20raw	0.123175	36.9525	True	300.0
20260706	0.05	20raw+minmax	0.49350000000000005	148.04999999999998	True	299.99999999999994
20260708	0.05	20raw+minmax	0.49200000000000005	147.6	True	299.99999999999994
20260710	0.05	20raw+minmax	0.4932	147.96	True	300.0
20260712	0.05	20raw+minmax	0.1647	49.41	True	299.99999999999994
20260714	0.05	20raw+minmax	0.12312500000000001	36.9375	True	299.99999999999994
20260706	0.05	20raw+stat	0.49160000000000004	147.48	True	299.99999999999994
20260708	0.05	20raw+stat	0.4918	147.54	True	300.0
20260710	0.05	20raw+stat	0.49210000000000004	147.63	True	299.99999999999994
20260712	0.05	20raw+stat	0.16433333333333336	49.300000000000004	True	300.0
20260714	0.05	20raw+stat	0.16416666666666668	49.25	True	299.99999999999994
