cost_llm	cost_ratio	rate	tree	pair	cpd_delta	cpf_delta
0.001	10.0	0.0005	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.0005	XGB-20raw	gradient_band_vs_absolute_band	4.589999999999995e-06	0.009179999999999994
0.001	10.0	0.0005	XGB-24full	gradient_band_vs_xgb_only	5.1299999999999865e-06	0.010259999999999964
0.001	10.0	0.0005	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.0005	XGB-24full	gradient_band_vs_absolute_band	5.1299999999999865e-06	0.010259999999999964
0.001	10.0	0.0005	XGB-4sensor	gradient_band_vs_xgb_only	5.309999999999988e-06	0.026549999999999963
0.001	10.0	0.0005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.001	10.0	0.0005	XGB-4sensor	gradient_band_vs_absolute_band	5.309999999999988e-06	0.026549999999999963
0.003	30.0	0.0144	XGB-20raw	gradient_band_vs_xgb_only	2.6099999999999903e-06	0.00018510638297872337
0.003	30.0	0.0144	XGB-20raw	absolute_band_vs_xgb_only	6.089999999999991e-06	0.0004319148936170209
0.003	30.0	0.0144	XGB-20raw	gradient_band_vs_absolute_band	-3.4800000000000006e-06	-0.00024680851063829754
0.003	30.0	0.0144	XGB-24full	gradient_band_vs_xgb_only	2.6099999999999903e-06	0.00018251748251748266
0.003	30.0	0.0144	XGB-24full	absolute_band_vs_xgb_only	6.380000000000003e-06	0.000446153846153847
0.003	30.0	0.0144	XGB-24full	gradient_band_vs_absolute_band	-3.770000000000013e-06	-0.00026363636363636433
0.003	30.0	0.0144	XGB-4sensor	gradient_band_vs_xgb_only	1.1309999999999998e-05	0.00145
0.003	30.0	0.0144	XGB-4sensor	absolute_band_vs_xgb_only	2.8999999999998536e-07	3.717948717948602e-05
0.003	30.0	0.0144	XGB-4sensor	gradient_band_vs_absolute_band	1.1020000000000013e-05	0.0014128205128205139
0.003	30.0	0.01	XGB-20raw	gradient_band_vs_xgb_only	4.639999999999996e-06	0.00046399999999999914
0.003	30.0	0.01	XGB-20raw	absolute_band_vs_xgb_only	4.059999999999998e-06	0.0004060000000000001
0.003	30.0	0.01	XGB-20raw	gradient_band_vs_absolute_band	5.799999999999978e-07	5.7999999999999025e-05
0.003	30.0	0.01	XGB-24full	gradient_band_vs_xgb_only	4.639999999999996e-06	0.0004686868686868684
0.003	30.0	0.01	XGB-24full	absolute_band_vs_xgb_only	3.479999999999987e-06	0.00035151515151514955
0.003	30.0	0.01	XGB-24full	gradient_band_vs_absolute_band	1.1600000000000092e-06	0.00011717171717171883
0.003	30.0	0.01	XGB-4sensor	gradient_band_vs_xgb_only	1.2179999999999982e-05	0.002175
0.003	30.0	0.01	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.01	XGB-4sensor	gradient_band_vs_absolute_band	1.2179999999999982e-05	0.002175
0.003	30.0	0.005	XGB-20raw	gradient_band_vs_xgb_only	9.569999999999991e-06	0.001913999999999999
0.003	30.0	0.005	XGB-20raw	absolute_band_vs_xgb_only	2.0299999999999924e-06	0.0004060000000000001
0.003	30.0	0.005	XGB-20raw	gradient_band_vs_absolute_band	7.539999999999999e-06	0.001507999999999999
0.003	30.0	0.005	XGB-24full	gradient_band_vs_xgb_only	1.1600000000000011e-05	0.0023200000000000026
0.003	30.0	0.005	XGB-24full	absolute_band_vs_xgb_only	1.740000000000007e-06	0.0003480000000000011
0.003	30.0	0.005	XGB-24full	gradient_band_vs_absolute_band	9.860000000000004e-06	0.0019720000000000015
0.003	30.0	0.005	XGB-4sensor	gradient_band_vs_xgb_only	1.4210000000000001e-05	0.004583870967741939
0.003	30.0	0.005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.005	XGB-4sensor	gradient_band_vs_absolute_band	1.4210000000000001e-05	0.004583870967741939
0.003	30.0	0.001	XGB-20raw	gradient_band_vs_xgb_only	1.3919999999999989e-05	0.013919999999999988
0.003	30.0	0.001	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.001	XGB-20raw	gradient_band_vs_absolute_band	1.3919999999999989e-05	0.013919999999999988
0.003	30.0	0.001	XGB-24full	gradient_band_vs_xgb_only	1.5369999999999983e-05	0.015369999999999995
0.003	30.0	0.001	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.001	XGB-24full	gradient_band_vs_absolute_band	1.5369999999999983e-05	0.015369999999999995
0.003	30.0	0.001	XGB-4sensor	gradient_band_vs_xgb_only	1.6529999999999993e-05	0.02755000000000002
0.003	30.0	0.001	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.001	XGB-4sensor	gradient_band_vs_absolute_band	1.6529999999999993e-05	0.02755000000000002
0.003	30.0	0.0005	XGB-20raw	gradient_band_vs_xgb_only	1.4789999999999985e-05	0.029579999999999967
0.003	30.0	0.0005	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.0005	XGB-20raw	gradient_band_vs_absolute_band	1.4789999999999985e-05	0.029579999999999967
0.003	30.0	0.0005	XGB-24full	gradient_band_vs_xgb_only	1.6529999999999993e-05	0.03305999999999998
0.003	30.0	0.0005	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.0005	XGB-24full	gradient_band_vs_absolute_band	1.6529999999999993e-05	0.03305999999999998
0.003	30.0	0.0005	XGB-4sensor	gradient_band_vs_xgb_only	1.7110000000000004e-05	0.08555000000000001
0.003	30.0	0.0005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.003	30.0	0.0005	XGB-4sensor	gradient_band_vs_absolute_band	1.7110000000000004e-05	0.08555000000000001
0.01	100.0	0.0144	XGB-20raw	gradient_band_vs_xgb_only	8.909999999999994e-06	0.0006319148936170214
0.01	100.0	0.0144	XGB-20raw	absolute_band_vs_xgb_only	2.0789999999999996e-05	0.0014744680851063834
0.01	100.0	0.0144	XGB-20raw	gradient_band_vs_absolute_band	-1.1880000000000001e-05	-0.0008425531914893619
0.01	100.0	0.0144	XGB-24full	gradient_band_vs_xgb_only	8.909999999999994e-06	0.0006230769230769224
0.01	100.0	0.0144	XGB-24full	absolute_band_vs_xgb_only	2.1779999999999998e-05	0.001523076923076923
0.01	100.0	0.0144	XGB-24full	gradient_band_vs_absolute_band	-1.2870000000000004e-05	-0.0009000000000000006
0.01	100.0	0.0144	XGB-4sensor	gradient_band_vs_xgb_only	3.861e-05	0.004950000000000003
0.01	100.0	0.0144	XGB-4sensor	absolute_band_vs_xgb_only	9.900000000000024e-07	0.0001269230769230783
0.01	100.0	0.0144	XGB-4sensor	gradient_band_vs_absolute_band	3.7619999999999996e-05	0.004823076923076925
0.01	100.0	0.01	XGB-20raw	gradient_band_vs_xgb_only	1.584000000000001e-05	0.0015840000000000003
0.01	100.0	0.01	XGB-20raw	absolute_band_vs_xgb_only	1.3860000000000006e-05	0.001386
0.01	100.0	0.01	XGB-20raw	gradient_band_vs_absolute_band	1.9800000000000048e-06	0.00019800000000000026
0.01	100.0	0.01	XGB-24full	gradient_band_vs_xgb_only	1.584000000000001e-05	0.0016000000000000007
0.01	100.0	0.01	XGB-24full	absolute_band_vs_xgb_only	1.1880000000000001e-05	0.0011999999999999997
0.01	100.0	0.01	XGB-24full	gradient_band_vs_absolute_band	3.9600000000000095e-06	0.00040000000000000105
0.01	100.0	0.01	XGB-4sensor	gradient_band_vs_xgb_only	4.157999999999998e-05	0.007425000000000001
0.01	100.0	0.01	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.01	XGB-4sensor	gradient_band_vs_absolute_band	4.157999999999998e-05	0.007425000000000001
0.01	100.0	0.005	XGB-20raw	gradient_band_vs_xgb_only	3.2669999999999984e-05	0.006533999999999998
0.01	100.0	0.005	XGB-20raw	absolute_band_vs_xgb_only	6.9299999999999896e-06	0.0013859999999999983
0.01	100.0	0.005	XGB-20raw	gradient_band_vs_absolute_band	2.5739999999999994e-05	0.005148
0.01	100.0	0.005	XGB-24full	gradient_band_vs_xgb_only	3.959999999999997e-05	0.007919999999999996
0.01	100.0	0.005	XGB-24full	absolute_band_vs_xgb_only	5.940000000000001e-06	0.0011880000000000016
0.01	100.0	0.005	XGB-24full	gradient_band_vs_absolute_band	3.365999999999997e-05	0.006731999999999995
0.01	100.0	0.005	XGB-4sensor	gradient_band_vs_xgb_only	4.8509999999999995e-05	0.0156483870967742
0.01	100.0	0.005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.005	XGB-4sensor	gradient_band_vs_absolute_band	4.8509999999999995e-05	0.0156483870967742
0.01	100.0	0.001	XGB-20raw	gradient_band_vs_xgb_only	4.751999999999999e-05	0.04752000000000001
0.01	100.0	0.001	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.001	XGB-20raw	gradient_band_vs_absolute_band	4.751999999999999e-05	0.04752000000000001
0.01	100.0	0.001	XGB-24full	gradient_band_vs_xgb_only	5.2470000000000004e-05	0.05247000000000002
0.01	100.0	0.001	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.001	XGB-24full	gradient_band_vs_absolute_band	5.2470000000000004e-05	0.05247000000000002
0.01	100.0	0.001	XGB-4sensor	gradient_band_vs_xgb_only	5.6429999999999987e-05	0.09405
0.01	100.0	0.001	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.001	XGB-4sensor	gradient_band_vs_absolute_band	5.6429999999999987e-05	0.09405
0.01	100.0	0.0005	XGB-20raw	gradient_band_vs_xgb_only	5.049e-05	0.10098000000000001
0.01	100.0	0.0005	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.0005	XGB-20raw	gradient_band_vs_absolute_band	5.049e-05	0.10098000000000001
0.01	100.0	0.0005	XGB-24full	gradient_band_vs_xgb_only	5.6429999999999987e-05	0.11286000000000002
0.01	100.0	0.0005	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.0005	XGB-24full	gradient_band_vs_absolute_band	5.6429999999999987e-05	0.11286000000000002
0.01	100.0	0.0005	XGB-4sensor	gradient_band_vs_xgb_only	5.840999999999999e-05	0.29205000000000003
0.01	100.0	0.0005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.01	100.0	0.0005	XGB-4sensor	gradient_band_vs_absolute_band	5.840999999999999e-05	0.29205000000000003
0.03	300.0	0.0144	XGB-20raw	gradient_band_vs_xgb_only	2.6909999999999985e-05	0.0019085106382978716
0.03	300.0	0.0144	XGB-20raw	absolute_band_vs_xgb_only	6.278999999999997e-05	0.004453191489361701
0.03	300.0	0.0144	XGB-20raw	gradient_band_vs_absolute_band	-3.587999999999999e-05	-0.0025446808510638293
0.03	300.0	0.0144	XGB-24full	gradient_band_vs_xgb_only	2.6909999999999985e-05	0.0018818181818181815
0.03	300.0	0.0144	XGB-24full	absolute_band_vs_xgb_only	6.578e-05	0.004599999999999999
0.03	300.0	0.0144	XGB-24full	gradient_band_vs_absolute_band	-3.887000000000001e-05	-0.0027181818181818175
0.03	300.0	0.0144	XGB-4sensor	gradient_band_vs_xgb_only	0.00011661	0.014950000000000001
0.03	300.0	0.0144	XGB-4sensor	absolute_band_vs_xgb_only	2.9899999999999968e-06	0.0003833333333333345
0.03	300.0	0.0144	XGB-4sensor	gradient_band_vs_absolute_band	0.00011362	0.014566666666666667
0.03	300.0	0.01	XGB-20raw	gradient_band_vs_xgb_only	4.783999999999999e-05	0.004783999999999998
0.03	300.0	0.01	XGB-20raw	absolute_band_vs_xgb_only	4.1859999999999996e-05	0.0041860000000000005
0.03	300.0	0.01	XGB-20raw	gradient_band_vs_absolute_band	5.9799999999999936e-06	0.0005979999999999978
0.03	300.0	0.01	XGB-24full	gradient_band_vs_xgb_only	4.783999999999999e-05	0.004832323232323231
0.03	300.0	0.01	XGB-24full	absolute_band_vs_xgb_only	3.588e-05	0.003624242424242424
0.03	300.0	0.01	XGB-24full	gradient_band_vs_absolute_band	1.1959999999999987e-05	0.0012080808080808074
0.03	300.0	0.01	XGB-4sensor	gradient_band_vs_xgb_only	0.00012557999999999997	0.022425
0.03	300.0	0.01	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.01	XGB-4sensor	gradient_band_vs_absolute_band	0.00012557999999999997	0.022425
0.03	300.0	0.005	XGB-20raw	gradient_band_vs_xgb_only	9.866999999999999e-05	0.019733999999999998
0.03	300.0	0.005	XGB-20raw	absolute_band_vs_xgb_only	2.0930000000000005e-05	0.004185999999999999
0.03	300.0	0.005	XGB-20raw	gradient_band_vs_absolute_band	7.773999999999998e-05	0.015548
0.03	300.0	0.005	XGB-24full	gradient_band_vs_xgb_only	0.00011959999999999997	0.023919999999999993
0.03	300.0	0.005	XGB-24full	absolute_band_vs_xgb_only	1.7939999999999994e-05	0.003588000000000001
0.03	300.0	0.005	XGB-24full	gradient_band_vs_absolute_band	0.00010165999999999997	0.020331999999999992
0.03	300.0	0.005	XGB-4sensor	gradient_band_vs_xgb_only	0.00014651000000000003	0.047261290322580654
0.03	300.0	0.005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.005	XGB-4sensor	gradient_band_vs_absolute_band	0.00014651000000000003	0.047261290322580654
0.03	300.0	0.001	XGB-20raw	gradient_band_vs_xgb_only	0.00014352	0.14352
0.03	300.0	0.001	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.001	XGB-20raw	gradient_band_vs_absolute_band	0.00014352	0.14352
0.03	300.0	0.001	XGB-24full	gradient_band_vs_xgb_only	0.00015846999999999997	0.15846999999999997
0.03	300.0	0.001	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.001	XGB-24full	gradient_band_vs_absolute_band	0.00015846999999999997	0.15846999999999997
0.03	300.0	0.001	XGB-4sensor	gradient_band_vs_xgb_only	0.00017043	0.28405
0.03	300.0	0.001	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.001	XGB-4sensor	gradient_band_vs_absolute_band	0.00017043	0.28405
0.03	300.0	0.0005	XGB-20raw	gradient_band_vs_xgb_only	0.00015248999999999997	0.30498
0.03	300.0	0.0005	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.0005	XGB-20raw	gradient_band_vs_absolute_band	0.00015248999999999997	0.30498
0.03	300.0	0.0005	XGB-24full	gradient_band_vs_xgb_only	0.00017043	0.34086
0.03	300.0	0.0005	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.0005	XGB-24full	gradient_band_vs_absolute_band	0.00017043	0.34086
0.03	300.0	0.0005	XGB-4sensor	gradient_band_vs_xgb_only	0.00017641	0.88205
0.03	300.0	0.0005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.03	300.0	0.0005	XGB-4sensor	gradient_band_vs_absolute_band	0.00017641	0.88205
0.1	1000.0	0.0144	XGB-20raw	gradient_band_vs_xgb_only	8.991e-05	0.0063765957446808505
0.1	1000.0	0.0144	XGB-20raw	absolute_band_vs_xgb_only	0.00020979	0.01487872340425532
0.1	1000.0	0.0144	XGB-20raw	gradient_band_vs_absolute_band	-0.00011988	-0.00850212765957447
0.1	1000.0	0.0144	XGB-24full	gradient_band_vs_xgb_only	8.991e-05	0.006287412587412587
0.1	1000.0	0.0144	XGB-24full	absolute_band_vs_xgb_only	0.00021977999999999999	0.01536923076923077
0.1	1000.0	0.0144	XGB-24full	gradient_band_vs_absolute_band	-0.00012986999999999997	-0.009081818181818182
0.1	1000.0	0.0144	XGB-4sensor	gradient_band_vs_xgb_only	0.00038961000000000003	0.04995000000000001
0.1	1000.0	0.0144	XGB-4sensor	absolute_band_vs_xgb_only	9.990000000000004e-06	0.001280769230769233
0.1	1000.0	0.0144	XGB-4sensor	gradient_band_vs_absolute_band	0.00037962	0.04866923076923077
0.1	1000.0	0.01	XGB-20raw	gradient_band_vs_xgb_only	0.00015984000000000001	0.015983999999999998
0.1	1000.0	0.01	XGB-20raw	absolute_band_vs_xgb_only	0.00013986	0.013986
0.1	1000.0	0.01	XGB-20raw	gradient_band_vs_absolute_band	1.998000000000001e-05	0.0019979999999999963
0.1	1000.0	0.01	XGB-24full	gradient_band_vs_xgb_only	0.00015984000000000001	0.016145454545454546
0.1	1000.0	0.01	XGB-24full	absolute_band_vs_xgb_only	0.00011988000000000004	0.012109090909090911
0.1	1000.0	0.01	XGB-24full	gradient_band_vs_absolute_band	3.995999999999996e-05	0.004036363636363633
0.1	1000.0	0.01	XGB-4sensor	gradient_band_vs_xgb_only	0.00041958000000000007	0.07492499999999999
0.1	1000.0	0.01	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.01	XGB-4sensor	gradient_band_vs_absolute_band	0.00041958000000000007	0.07492499999999999
0.1	1000.0	0.005	XGB-20raw	gradient_band_vs_xgb_only	0.00032966999999999995	0.06593399999999999
0.1	1000.0	0.005	XGB-20raw	absolute_band_vs_xgb_only	6.992999999999999e-05	0.013986000000000002
0.1	1000.0	0.005	XGB-20raw	gradient_band_vs_absolute_band	0.00025973999999999995	0.051947999999999994
0.1	1000.0	0.005	XGB-24full	gradient_band_vs_xgb_only	0.0003996	0.07992
0.1	1000.0	0.005	XGB-24full	absolute_band_vs_xgb_only	5.994000000000001e-05	0.011988000000000002
0.1	1000.0	0.005	XGB-24full	gradient_band_vs_absolute_band	0.00033966	0.067932
0.1	1000.0	0.005	XGB-4sensor	gradient_band_vs_xgb_only	0.00048951	0.15790645161290323
0.1	1000.0	0.005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.005	XGB-4sensor	gradient_band_vs_absolute_band	0.00048951	0.15790645161290323
0.1	1000.0	0.001	XGB-20raw	gradient_band_vs_xgb_only	0.00047952000000000004	0.47952000000000006
0.1	1000.0	0.001	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.001	XGB-20raw	gradient_band_vs_absolute_band	0.00047952000000000004	0.47952000000000006
0.1	1000.0	0.001	XGB-24full	gradient_band_vs_xgb_only	0.0005294699999999999	0.52947
0.1	1000.0	0.001	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.001	XGB-24full	gradient_band_vs_absolute_band	0.0005294699999999999	0.52947
0.1	1000.0	0.001	XGB-4sensor	gradient_band_vs_xgb_only	0.00056943	0.9490500000000001
0.1	1000.0	0.001	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.001	XGB-4sensor	gradient_band_vs_absolute_band	0.00056943	0.9490500000000001
0.1	1000.0	0.0005	XGB-20raw	gradient_band_vs_xgb_only	0.0005094899999999999	1.01898
0.1	1000.0	0.0005	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.0005	XGB-20raw	gradient_band_vs_absolute_band	0.0005094899999999999	1.01898
0.1	1000.0	0.0005	XGB-24full	gradient_band_vs_xgb_only	0.00056943	1.13886
0.1	1000.0	0.0005	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.0005	XGB-24full	gradient_band_vs_absolute_band	0.00056943	1.13886
0.1	1000.0	0.0005	XGB-4sensor	gradient_band_vs_xgb_only	0.00058941	2.94705
0.1	1000.0	0.0005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0
0.1	1000.0	0.0005	XGB-4sensor	gradient_band_vs_absolute_band	0.00058941	2.94705
