method	step	zvf_step	n_boundary	n_contrast	kbar	smoothed	naive	ag	df	ap
areal	15	0.6875	11	5	5.4000	0.5613	0.2194	0	1	0
areal	16	0.6250	10	6	5.3333	0.5556	0.2222	0	1	0
areal	17	0.5000	8	8	5.6250	0.5825	0.2087	0	1	0
areal	18	0.5625	9	7	5.2857	0.5517	0.2242	0	1	0
areal	19	0.7500	12	4	4.0000	0.5000	0.2500	1	1	0
areal	20	0.6875	11	5	4.0000	0.5000	0.2500	0	1	0
areal	21	0.6875	11	5	4.0000	0.5000	0.2500	0	1	0
areal	22	0.8125	13	3	4.0000	0.5000	0.2500	1	1	0
areal	23	0.8125	13	3	5.3333	0.5556	0.2222	1	1	0
areal	24	0.8750	14	2	3.5000	0.5078	0.2461	1	1	0
areal	25	0.6250	10	6	4.3333	0.5035	0.2483	0	1	0
areal	26	0.8750	14	2	5.5000	0.5703	0.2148	1	1	0
areal	27	0.9375	15	1	2.0000	0.6250	0.1875	1	1	0
areal	28	0.8750	14	2	6.0000	0.6250	0.1875	1	1	0
areal	29	0.8125	13	3	6.0000	0.6250	0.1875	1	1	0
areal	30	0.7500	12	4	5.2500	0.5488	0.2256	1	1	0
areal	31	0.5625	9	7	6.8571	0.7551	0.1224	0	1	0
areal	32	0.7500	12	4	4.7500	0.5176	0.2412	1	1	0
areal	33	0.6250	10	6	5.3333	0.5556	0.2222	0	1	0
areal	34	0.6875	11	5	6.0000	0.6250	0.1875	0	1	0
areal	35	0.8125	13	3	6.6667	0.7222	0.1389	1	1	0
areal	36	0.7500	12	4	4.7500	0.5176	0.2412	1	1	0
areal	37	0.6875	11	5	4.4000	0.5050	0.2475	0	1	0
areal	38	0.8125	13	3	4.0000	0.5000	0.2500	1	1	0
areal	39	0.7500	12	4	3.5000	0.5078	0.2461	1	1	0
