fset	decile	seed	n_total	n_pos	hit_rate	brier	ece	auc
20raw	3	590	1000	15	0.0150	0.029476	0.122738	0.998173
24full	3	42	1000	15	0.0150	0.023431	0.114815	0.999729
24full	3	179	1000	15	0.0150	0.024948	0.118534	0.999865
24full	3	316	1000	15	0.0150	0.025822	0.121847	0.999255
24full	3	453	1000	15	0.0150	0.023162	0.112541	0.998985
24full	3	590	1000	15	0.0150	0.025639	0.121360	0.999797
4sensor	3	42	1000	15	0.0150	0.112875	0.295611	0.985178
4sensor	3	179	1000	15	0.0150	0.117252	0.299475	0.959729
4sensor	3	316	1000	15	0.0150	0.115953	0.298528	0.965279
4sensor	3	453	1000	15	0.0150	0.115416	0.298796	0.969340
4sensor	3	590	1000	15	0.0150	0.113981	0.296997	0.970423
20raw	4	42	1000	19	0.0190	0.034538	0.132636	0.996781
20raw	4	179	1000	19	0.0190	0.037013	0.141196	0.996674
20raw	4	316	1000	19	0.0190	0.036850	0.143884	0.997639
20raw	4	453	1000	19	0.0190	0.035820	0.140085	0.996459
20raw	4	590	1000	19	0.0190	0.034954	0.135318	0.998069
24full	4	42	1000	19	0.0190	0.032004	0.131340	0.998176
24full	4	179	1000	19	0.0190	0.033076	0.136851	0.998176
24full	4	316	1000	19	0.0190	0.036490	0.142431	0.997908
24full	4	453	1000	19	0.0190	0.032617	0.132653	0.997908
24full	4	590	1000	19	0.0190	0.035727	0.143221	0.997854
4sensor	4	42	1000	19	0.0190	0.160346	0.359047	0.960137
4sensor	4	179	1000	19	0.0190	0.169191	0.373395	0.955577
4sensor	4	316	1000	19	0.0190	0.166170	0.366911	0.963303
4sensor	4	453	1000	19	0.0190	0.165344	0.366274	0.957240
4sensor	4	590	1000	19	0.0190	0.168114	0.368372	0.960942
20raw	5	42	1000	17	0.0170	0.043626	0.156922	0.995751
20raw	5	179	1000	17	0.0170	0.045599	0.162098	0.995512
20raw	5	316	1000	17	0.0170	0.043926	0.160253	0.995632
20raw	5	453	1000	17	0.0170	0.043495	0.158737	0.996469
20raw	5	590	1000	17	0.0170	0.042784	0.155012	0.996589
24full	5	42	1000	17	0.0170	0.045449	0.162871	0.997128
24full	5	179	1000	17	0.0170	0.045273	0.164782	0.997427
24full	5	316	1000	17	0.0170	0.046803	0.167689	0.997427
24full	5	453	1000	17	0.0170	0.044089	0.162548	0.997427
24full	5	590	1000	17	0.0170	0.047059	0.168794	0.996290
4sensor	5	42	1000	17	0.0170	0.191931	0.405372	0.958231
4sensor	5	179	1000	17	0.0170	0.185816	0.398225	0.955778
4sensor	5	316	1000	17	0.0170	0.186907	0.398735	0.961044
4sensor	5	453	1000	17	0.0170	0.195828	0.407513	0.942972
4sensor	5	590	1000	17	0.0170	0.187588	0.400984	0.964155
20raw	6	42	1000	13	0.0130	0.047987	0.168319	0.997740
20raw	6	179	1000	13	0.0130	0.048621	0.171021	0.995947
20raw	6	316	1000	13	0.0130	0.049312	0.172246	0.997896
20raw	6	453	1000	13	0.0130	0.047485	0.169536	0.997740
20raw	6	590	1000	13	0.0130	0.047336	0.165855	0.997974
24full	6	42	1000	13	0.0130	0.046876	0.168726	0.998207
24full	6	179	1000	13	0.0130	0.047925	0.173332	0.997896
24full	6	316	1000	13	0.0130	0.051303	0.178450	0.997272
24full	6	453	1000	13	0.0130	0.047559	0.171605	0.997662
24full	6	590	1000	13	0.0130	0.050144	0.179322	0.998363
4sensor	6	42	1000	13	0.0130	0.208097	0.418497	0.967579
4sensor	6	179	1000	13	0.0130	0.216694	0.429878	0.966877
4sensor	6	316	1000	13	0.0130	0.214390	0.424520	0.956200
4sensor	6	453	1000	13	0.0130	0.211626	0.421786	0.956590
4sensor	6	590	1000	13	0.0130	0.210036	0.424129	0.976074
20raw	7	42	1000	23	0.0230	0.047480	0.163093	0.995861
20raw	7	179	1000	23	0.0230	0.049428	0.165842	0.995906
20raw	7	316	1000	23	0.0230	0.049111	0.166623	0.996128
20raw	7	453	1000	23	0.0230	0.049181	0.165421	0.995105
20raw	7	590	1000	23	0.0230	0.047968	0.159734	0.995416
24full	7	42	1000	23	0.0230	0.049764	0.168367	0.995995
24full	7	179	1000	23	0.0230	0.052338	0.174544	0.994882
24full	7	316	1000	23	0.0230	0.053084	0.175575	0.995995
24full	7	453	1000	23	0.0230	0.050513	0.171216	0.996351
24full	7	590	1000	23	0.0230	0.053995	0.176955	0.996084
4sensor	7	42	1000	23	0.0230	0.222300	0.430775	0.906235
4sensor	7	179	1000	23	0.0230	0.223183	0.434818	0.915180
4sensor	7	316	1000	23	0.0230	0.225475	0.434357	0.915491
4sensor	7	453	1000	23	0.0230	0.227022	0.436989	0.897245
4sensor	7	590	1000	23	0.0230	0.216498	0.427231	0.908282
20raw	8	42	1000	20	0.0200	0.039897	0.156397	0.999439
20raw	8	179	1000	20	0.0200	0.041011	0.156737	0.999184
20raw	8	316	1000	20	0.0200	0.041626	0.160633	0.999235
20raw	8	453	1000	20	0.0200	0.039709	0.155278	0.999031
20raw	8	590	1000	20	0.0200	0.041043	0.155221	0.999235
24full	8	42	1000	20	0.0200	0.038465	0.154094	0.999439
24full	8	179	1000	20	0.0200	0.040621	0.160206	0.999490
24full	8	316	1000	20	0.0200	0.041477	0.164875	0.999796
24full	8	453	1000	20	0.0200	0.039679	0.158989	0.999082
24full	8	590	1000	20	0.0200	0.041798	0.164848	0.999490
4sensor	8	42	1000	20	0.0200	0.195624	0.396966	0.943010
4sensor	8	179	1000	20	0.0200	0.196900	0.398926	0.923520
4sensor	8	316	1000	20	0.0200	0.208250	0.410094	0.918316
4sensor	8	453	1000	20	0.0200	0.204666	0.406311	0.922347
4sensor	8	590	1000	20	0.0200	0.192375	0.393176	0.938571
20raw	9	42	1000	12	0.0120	0.038591	0.147639	0.998229
20raw	9	179	1000	12	0.0120	0.040120	0.150575	0.997807
20raw	9	316	1000	12	0.0120	0.041997	0.153753	0.997723
20raw	9	453	1000	12	0.0120	0.039120	0.147935	0.997554
20raw	9	590	1000	12	0.0120	0.040155	0.148748	0.997554
24full	9	42	1000	12	0.0120	0.029419	0.128314	0.999494
24full	9	179	1000	12	0.0120	0.030448	0.131594	0.999157
24full	9	316	1000	12	0.0120	0.032569	0.135715	0.999325
24full	9	453	1000	12	0.0120	0.031375	0.131308	0.999241
24full	9	590	1000	12	0.0120	0.032140	0.134637	0.999157
4sensor	9	42	1000	12	0.0120	0.141011	0.326938	0.967443
4sensor	9	179	1000	12	0.0120	0.136612	0.324455	0.963731
4sensor	9	316	1000	12	0.0120	0.138493	0.323533	0.959936
4sensor	9	453	1000	12	0.0120	0.133794	0.319577	0.968792
4sensor	9	590	1000	12	0.0120	0.133042	0.316314	0.967443
20raw	10	42	1000	9	0.0090	0.015453	0.088509	0.999552
20raw	10	179	1000	9	0.0090	0.018885	0.094991	0.998879
20raw	10	316	1000	9	0.0090	0.018686	0.095620	0.997870
20raw	10	453	1000	9	0.0090	0.016974	0.090606	0.999103
20raw	10	590	1000	9	0.0090	0.019381	0.095864	0.998542
24full	10	42	1000	9	0.0090	0.007602	0.061359	1.000000
24full	10	179	1000	9	0.0090	0.008901	0.067689	1.000000
24full	10	316	1000	9	0.0090	0.007881	0.064977	1.000000
24full	10	453	1000	9	0.0090	0.008609	0.064778	1.000000
24full	10	590	1000	9	0.0090	0.010858	0.074846	1.000000
4sensor	10	42	1000	9	0.0090	0.026680	0.121863	0.998767
4sensor	10	179	1000	9	0.0090	0.027116	0.125790	0.999327
4sensor	10	316	1000	9	0.0090	0.027492	0.125168	0.997197
4sensor	10	453	1000	9	0.0090	0.025352	0.121169	0.999664
4sensor	10	590	1000	9	0.0090	0.029041	0.129390	0.998767
